intensity
0,5056
1,5098
2,5121
3,5140
4,5170
5,5233
6,5292
7,5355
8,5371
9,5391
10,5511
11,5657
12,5775
13,5869
14,5944
15,5963
16,5945
17,5978
18,6089
19,6331
20,6644
21,7008
22,7307
23,7526
24,7567
25,7652
26,7858
27,8254
28,8787
29,9311
30,9765
31,10052
32,10277
33,10463
34,10618
35,10735
36,10785
37,10823
38,10920
39,10973
40,10949
41,10953
42,10966
43,10930
44,10854
45,10725
46,10524
47,10254
48,9932
49,9591
50,9356
51,9125
52,8856
53,8500
54,8055
55,7502
56,6939
57,6527
58,6292
59,6262
60,6295
61,6376
62,6350
63,6283
64,6170
65,6067
66,5990
67,5946
68,5938
69,5923
70,5918
71,5940
72,5965
73,5972
74,5962
75,5929
