intensity
0,8089
1,8203
2,8327
3,8453
4,8583
5,8672
6,8772
7,8926
8,8994
9,8985
10,9043
11,9148
12,9254
13,9306
14,9233
15,9084
16,8857
17,8689
18,8580
19,8546
20,8615
21,8785
22,9040
23,9344
24,9612
25,9812
26,9861
27,9884
28,9874
29,9954
30,10121
31,10495
32,10958
33,11465
34,11889
35,12204
36,12341
37,12395
38,12642
39,12942
40,13228
41,13435
42,13568
43,13721
44,13879
45,14079
46,14244
47,14360
48,14414
49,14435
50,14452
51,14452
52,14476
53,14490
54,14474
55,14388
56,14274
57,14122
58,13978
59,13808
60,13568
61,13267
62,12917
63,12587
64,12281
65,12059
66,11793
67,11381
68,10852
69,10246
70,9677
71,9210
72,9012
73,8939
74,8948
75,8926
76,8844
77,8588
78,8251
79,7934
80,7628
81,7327
82,7183
83,7184
84,7225
85,7267
86,7188
87,7036
88,6797
89,6599
90,6431
91,6293
92,6210
93,6252
94,6281
95,6258
96,6202
97,6118
98,6047
99,5995
100,5965
101,5942
