intensity
0,3740
1,3798
2,3847
3,3892
4,3945
5,4019
6,4032
7,4030
8,4030
9,4044
10,4070
11,4126
12,4200
13,4279
14,4318
15,4311
16,4250
17,4204
18,4267
19,4407
20,4545
21,4801
22,5169
23,5518
24,5821
25,5920
26,5969
27,6013
28,6266
29,6732
30,7232
31,7754
32,8297
33,8733
34,8973
35,9213
36,9430
37,9534
38,9583
39,9624
40,9624
41,9654
42,9692
43,9631
44,9493
45,9345
46,9136
47,8835
48,8431
49,7940
50,7416
51,6905
52,6607
53,6421
54,6328
55,6205
56,6024
57,5787
58,5540
59,5348
60,5207
61,5125
62,5105
63,5123
64,5131
65,5108
66,5046
67,4959
68,4866
69,4783
70,4716
71,4690
72,4701
73,4712
74,4731
75,4754
76,4766
77,4780
78,4785
79,4790
