time,signal,stdev
0.555881,554091.0,7831.9146
1.650535,553852.5,4032.63
2.752319,554125.5,4106.169
3.848226,555621.0,585.48444
4.941595,556156.5,1601.5968
6.033039,557558.0,3700.9968
7.122154,556103.5,2628.316
8.213258,555249.5,5120.16
9.306132,555928.5,4017.0735
10.401957,556467.5,870.4484
11.496998,554996.0,4303.4517
12.595024,556983.0,3176.3237
13.684598,552700.5,1793.9299
14.784177,558344.5,1255.1145
15.883168,558412.5,210.01071
16.975755,555593.0,2450.832
18.062736,555921.0,379.00925
19.15063,556249.0,653.36664
20.248609,556028.0,176.7767
21.340347,557369.0,612.3545
22.434235,556124.0,227.68839
23.521826,557427.0,69.29646
24.614485,553786.5,3343.908
25.698094,555617.0,3058.9438
26.786538,557053.5,4075.0564
27.877761,553899.5,3059.651
28.967074,555875.5,4415.882
30.063494,556801.5,2205.466
31.152206,551837.5,529.623
32.256984,557688.5,3222.2856
33.34611,553647.0,3812.7197
34.439237,556249.5,5748.071
35.527104,552708.0,3503.007
36.621147,556320.0,1568.3628
37.725804,555560.5,1443.205
38.814914,556152.5,3707.3608
39.909973,552441.5,6378.81
40.998257,555082.5,668.2159
42.08248,553972.5,581.94885
43.171448,554841.0,1916.2594
44.271127,554421.0,209.3036
45.364361,554488.0,2309.4106
46.455883,554623.0,2233.0432
47.541388,554594.5,2054.1453
48.629244,555458.0,3183.3948
49.729307,555211.0,2733.6748
50.813336,551923.0,113.137085
51.900281,553335.0,98.99495
52.985863,555644.5,4322.5435
54.079787,556720.0,4509.9272
55.175702,556053.5,2246.4783
56.261782,550856.0,424.26407
57.344088,553654.0,1548.5638
58.433631,558540.5,1376.7369
59.524808,557853.0,3044.8018
60.617875,556856.0,1346.3313
61.703405,555308.0,2001.1122
62.783646,554278.0,2303.754
63.865565,557459.5,5391.689
64.953848,554282.5,70.00357
66.044092,558410.5,1693.5208
67.138142,555405.0,462.44785
68.221627,556965.5,3935.049
69.301765,557847.5,4103.341
70.383932,558532.5,1188.6465
71.470014,555903.5,4521.9478
72.569328,555784.5,4533.2617
73.656042,555290.0,3334.7156
74.739736,555364.5,1887.268
75.822797,555143.0,1074.8024
76.904792,557063.0,4167.6875
77.990085,554788.5,2433.1545
79.078706,557138.5,877.51953
80.160776,556196.0,3091.471
81.24171,555182.0,5023.2866
82.324196,558398.5,1276.3278
83.406844,555263.0,2578.1113
84.502285,557101.5,5616.5493
85.586621,556609.5,4523.362
86.670067,555826.5,5528.8677
87.752515,555929.0,4739.03
88.838647,554984.5,4499.3203
89.934076,556175.5,2455.7817
