time,signal,stdev
0.646146,544234.5,2123.4417
1.985018,545228.5,1289.0557
3.359406,547134.0,407.29352
4.710426,544126.5,1455.9329
6.079442,545803.0,3836.7615
7.442053,546015.0,1941.7152
8.810652,544161.0,1145.513
10.126387,543407.0,776.40326
11.459909,544012.5,174.65538
12.819256,545949.0,263.04373
14.172462,541211.0,956.00836
15.548606,545694.5,1792.5157
16.884224,547070.5,1611.4963
18.255872,544926.5,1948.0792
19.619256,541781.0,3911.7146
21.001547,543756.5,2595.789
22.427687,545117.5,1759.9888
23.78115,544798.5,536.69403
25.139836,544508.5,2312.9463
26.52823,546922.0,2918.9368
27.865221,545053.5,3380.6775
29.207226,544555.0,1105.915
30.568838,547469.0,2206.173
31.928733,543590.5,3324.109
33.160446,545315.5,142.12846
34.482378,544624.0,5512.6045
35.841395,546437.0,1508.9658
37.204955,548349.0,1409.971
38.577894,545190.0,1639.0735
39.938329,546195.0,1159.6552
41.286508,546520.5,1212.6881
42.636293,543430.5,1272.0851
44.031319,546093.0,1793.2228
45.390912,546605.5,475.88287
46.730562,546894.5,2157.3828
48.069779,546372.5,1741.604
49.415975,543708.5,1839.1847
50.638693,544034.5,4015.6594
51.974808,548287.5,1526.6436
53.326103,546064.5,17.67767
