time,signal
0.542422,549539.0
1.658395,552839.0
2.815087,552653.0
3.931343,548010.0
5.050006,557814.0
6.485369,552920.0
7.579198,557918.0
8.677118,558114.0
9.768761,558152.0
10.862107,559226.0
11.945219,560076.0
13.019603,559699.0
14.095681,567236.0
15.170285,565270.0
16.258629,559505.0
17.32844,567583.0
18.400102,567862.0
19.470338,567231.0
20.539519,570080.0
21.61578,570631.0
22.681998,569246.0
23.756055,565417.0
24.829129,564462.0
25.903251,563595.0
26.974181,566600.0
28.057962,560423.0
29.129469,559939.0
30.198677,560715.0
31.284864,561162.0
32.366213,561461.0
33.478967,559888.0
34.558113,557276.0
35.636106,557624.0
36.721201,556237.0
37.809203,556850.0
38.888866,557761.0
39.970904,556439.0
41.045474,558089.0
42.125516,557557.0
43.207974,558605.0
44.290548,554048.0
45.383895,554304.0
46.469614,554690.0
47.549213,556849.0
48.631218,554931.0
49.71289,554072.0
50.806622,555330.0
51.89759,554748.0
52.990126,554356.0
54.072475,555776.0
55.155514,555067.0
56.242373,554149.0
57.33968,553280.0
58.426513,552042.0
59.512869,553051.0
60.595468,557093.0
61.676327,551291.0
62.773459,553302.0
63.861584,557395.0
64.948147,555270.0
66.030747,556135.0
67.110808,556949.0
68.201454,552902.0
69.288807,554202.0
70.375437,555340.0
71.461746,555302.0
72.543711,556641.0
73.625988,555182.0
74.720802,555909.0
75.805928,554759.0
76.894263,557683.0
77.985831,556001.0
79.072058,553975.0
80.168274,553838.0
81.258338,555990.0
82.3458,558541.0
83.43551,556563.0
84.525652,560085.0
85.612905,559399.0
86.706741,558601.0
87.790121,557792.0
88.869027,562771.0
89.952491,562262.0
91.03197,559851.0
92.123101,562814.0
93.208103,565258.0
94.289297,566466.0
95.368101,567909.0
96.453285,566039.0
97.541074,566109.0
98.622686,567812.0
99.703313,566052.0
100.778012,568676.0
101.859205,566331.0
102.946068,566690.0
104.027759,570020.0
105.107813,565046.0
106.192438,568171.0
107.272716,568716.0
108.350144,573509.0
109.440197,569302.0
110.52001,566177.0
111.595759,567997.0
112.670889,567718.0
113.751057,565600.0
114.845305,569404.0
115.927014,572012.0
117.010629,572621.0
118.093876,573360.0
119.173734,570404.0
120.249685,575291.0
121.332838,576075.0
122.414066,577731.0
123.496169,573176.0
124.571249,574313.0
125.648134,574090.0
126.740826,579946.0
127.815753,582447.0
128.891923,581221.0
129.968262,582295.0
131.043245,582929.0
132.12641,582259.0
133.20248,582014.0
134.287007,582017.0
135.372001,581400.0
136.458155,580071.0
137.540212,585030.0
138.62529,585265.0
139.70807,586320.0
140.784553,587129.0
141.861985,586559.0
142.944672,587973.0
144.036183,588248.0
145.115206,590805.0
146.192743,592185.0
147.270805,588799.0
148.343471,594744.0
149.432131,596999.0
150.515871,595944.0
151.593341,597488.0
152.670769,598908.0
153.744936,601036.0
154.819259,598070.0
155.913103,601667.0
156.993099,604797.0
158.076103,604018.0
159.150324,603457.0
160.223986,608048.0
161.31015,604521.0
162.401114,608760.0
163.494883,608997.0
164.578609,608126.0
165.66208,604190.0
166.759847,607521.0
167.85646,610800.0
168.940339,610164.0
170.021666,611385.0
171.108718,606342.0
172.197913,607166.0
173.298408,609322.0
174.397551,607445.0
175.481072,611692.0
176.565903,610850.0
177.648656,612536.0
178.746525,614295.0
179.832326,613847.0
180.917056,614177.0
182.003296,619833.0
183.08955,617291.0
184.179267,616776.0
185.262398,620774.0
186.350888,621005.0
187.439147,621895.0
188.526298,621266.0
189.611513,623373.0
190.718145,621474.0
191.811806,620279.0
192.898831,620903.0
193.984929,621111.0
195.071719,620182.0
196.16931,619383.0
197.255688,619393.0
198.338823,620074.0
199.452689,620612.0
200.572097,619063.0
201.674806,617622.0
202.779667,616435.0
203.882774,613838.0
204.98348,615037.0
206.082854,615234.0
207.183902,617576.0
208.287123,616317.0
209.392002,617663.0
210.486212,616971.0
211.581561,615671.0
212.674349,617071.0
213.775461,617400.0
214.870218,618250.0
215.961427,616818.0
217.063676,616951.0
218.203643,617699.0
219.316214,617471.0
220.411502,617796.0
221.503046,617017.0
222.593419,621107.0
223.700042,618931.0
224.801042,620633.0
225.895335,621481.0
226.997106,622579.0
228.083651,620760.0
229.164695,620532.0
230.248308,619268.0
231.35661,616444.0
232.4444,617149.0
233.538057,618787.0
234.632903,615787.0
235.71852,620749.0
236.821641,620982.0
238.139269,622180.0
239.231667,619654.0
240.324329,618053.0
241.415558,618565.0
242.544141,618029.0
243.647075,618075.0
244.747789,616837.0
245.840558,619285.0
246.936537,620524.0
248.023289,618720.0
249.111365,619514.0
250.203513,618863.0
251.299093,618654.0
252.398591,621242.0
253.488675,615447.0
254.595395,618698.0
255.686826,616544.0
256.771445,619964.0
257.85586,616797.0
258.946242,616914.0
260.058926,618751.0
261.151042,619272.0
