time,signal,stdev
0.567135,553827.5,1057.1246
1.662318,552605.5,1484.2172
2.763485,552338.5,48.790367
3.858634,551793.5,277.89297
4.959571,552890.5,1875.9543
6.075132,553315.0,552.9575
7.174735,551042.5,1007.62714
8.279446,550032.0,3046.216
9.376586,550088.5,1720.3907
10.473477,552173.0,984.29266
11.587168,553723.0,1475.0248
12.686688,553714.0,610.94025
13.782304,551995.5,3809.184
14.878461,552233.0,1217.6378
15.978015,552460.5,1286.2273
17.073352,551954.5,2221.0225
18.174327,552094.5,514.06665
19.270243,551804.5,832.2647
20.366385,550215.5,2781.051
21.463064,550600.0,5443.308
22.555158,552965.5,1027.4261
23.678404,551941.0,1319.4613
24.775942,552646.0,1206.3242
25.868765,551639.0,1141.2704
26.963051,551348.5,1034.4972
28.059778,549979.0,2588.0107
29.179188,552223.5,4026.9731
30.286119,549533.5,4427.1953
31.379137,549556.5,3213.8003
32.47434,549503.0,906.51086
33.567683,551271.5,942.57336
34.671114,549224.0,4334.5645
35.774164,550600.0,3824.0334
36.870708,550281.0,3081.5713
37.965034,550889.0,2951.4636
39.065245,550755.5,3377.849
40.161401,552404.5,1892.9248
41.267884,553074.5,403.75797
42.361688,551664.0,799.03064
43.466561,553024.5,665.38745
44.572517,552930.0,773.5748
45.672666,550281.5,946.816
46.798354,553199.5,1355.5237
47.9047,550999.5,605.99054
49.003366,552287.5,31.819805
50.100674,552024.5,886.0048
51.204609,554321.0,3068.8435
52.317054,553131.5,1099.551
53.411479,553189.5,887.419
54.508644,553894.0,455.37677
55.601632,552477.0,1110.1576
56.696927,552256.5,1320.1683
57.793419,550410.5,4817.5186
58.889041,555245.5,262.3366
59.98355,553209.0,435.5778
61.074331,550336.0,924.8957
62.167561,553492.5,1078.3379
63.266275,552592.5,730.4413
64.378864,553831.0,165.46298
65.472289,555330.5,1772.7167
66.567075,550924.0,603.8692
67.664862,551336.5,4697.31
68.759434,552987.0,442.64883
69.874804,550518.0,2209.0015
70.970948,553410.0,1388.7577
72.066446,553447.5,1576.141
73.161203,551469.0,1190.7678
74.25691,552965.0,896.6114
