time,signal,stdev
0.546922,573805.5,23794.85
1.661195,574212.0,26509.434
2.75115,574482.0,25539.283
3.85585,576176.0,26342.557
4.947737,572617.5,21635.346
6.032089,573573.5,23852.832
7.141591,570813.0,18376.291
8.234514,567699.5,22667.723
9.346388,568889.5,17053.295
10.436143,564886.5,17348.865
11.521515,566407.0,11245.826
12.651929,565005.0,8571.548
13.752054,565082.0,6841.9653
14.855947,564472.5,4718.5234
15.969808,562111.5,1588.8689
17.073098,561230.5,1716.1482
18.169998,560449.0,3101.3704
19.285763,557449.0,4381.2334
20.387845,557365.5,2826.306
21.486754,559612.5,1511.0872
22.590423,559228.0,1219.0521
23.691688,559354.0,2811.4565
24.813592,557692.5,2155.9685
25.923035,556858.5,3168.5454
27.016578,559804.0,4857.8237
28.129677,559501.0,3237.1348
29.228378,557704.0,2620.5378
30.341891,557791.0,899.4398
31.436477,557423.5,60.104076
32.526589,557085.5,1545.0283
33.633904,557838.5,5132.888
34.729137,557302.5,365.57422
35.840669,558652.5,3324.109
36.940528,555701.5,4103.341
38.042081,557214.5,5552.9097
39.134435,556581.5,1590.2832
40.22662,558963.5,2177.182
41.315711,556413.5,6948.7383
42.419139,558399.0,2013.8401
43.520867,557112.0,3057.5298
44.61771,558580.0,5723.3223
45.72227,558227.5,3655.035
46.820889,559112.5,5627.863
47.929655,557553.5,3721.503
49.025573,555893.0,4437.8022
50.127919,557875.0,3180.5664
51.220525,557691.0,5074.198
52.317076,558066.5,3058.2368
53.422502,558751.5,8348.81
54.523052,556259.0,2679.9348
55.620806,556457.0,1063.4886
56.713434,560496.5,3971.8188
57.80911,557135.5,3338.251
58.912349,556984.5,402.34375
60.005868,560177.5,3834.64
61.094162,557813.0,6083.947
62.206113,561424.5,5156.9297
63.310967,559390.0,4126.6753
64.411982,559389.5,4711.4526
65.519789,557421.5,3277.44
66.61474,557940.0,3522.806
67.719858,558927.5,4902.371
68.828126,558787.5,4116.0684
69.920824,563641.0,3920.2
71.026938,560055.5,7655.845
72.133777,559914.5,5523.211
73.232326,560546.0,5051.571
74.336812,559267.0,5016.2153
75.428132,560828.5,3954.8481
76.537223,560347.5,6897.8267
77.640131,561675.5,4616.7
78.738849,560849.0,2534.2708
79.854491,560782.5,994.89923
80.972774,562159.5,4635.085
82.081813,560894.5,5879.593
83.20676,564039.5,6339.2124
84.310164,559972.5,2956.4133
85.406401,559451.5,3168.5454
86.527324,559091.0,1948.7863
87.623263,564588.5,6241.6313
88.724031,560370.5,1916.9664
89.840182,560180.0,158.39192
90.953701,562717.0,3210.265
92.064179,560943.0,2863.7825
93.16027,561674.0,2797.3145
94.271125,561394.5,847.82104
95.36623,563519.0,5202.8916
96.456625,562769.0,3426.6394
97.544336,563132.0,3801.406
98.639223,562485.0,4532.5547
99.744798,563487.5,4594.0728
100.836518,561977.5,2341.2305
101.922135,561244.5,3898.2795
103.018393,560658.0,3214.5073
104.106548,562040.5,4055.2573
105.195937,561194.5,4089.1985
106.284946,563433.0,3374.3135
107.380228,564733.5,4379.1123
108.470382,563847.5,2788.122
109.564975,565878.0,4063.0356
110.653762,562887.0,7619.7827
111.759564,565036.5,6200.619
112.847241,564886.5,3355.2217
113.935524,563923.5,4905.1997
115.023397,566035.0,3787.264
116.111373,565983.5,3981.7183
117.214203,566109.5,7737.8696
118.303126,565155.5,7207.5396
119.389485,563869.5,8094.2515
120.473571,565573.5,8213.045
121.557749,567119.0,11118.547
122.650471,567491.0,6351.233
123.745796,567161.5,3799.2847
124.834971,566764.0,4668.319
125.931523,566098.0,3173.495
127.016426,566825.0,2206.173
128.108764,567243.0,6218.297
129.260242,569734.0,6430.4287
130.39182,569726.5,5806.0537
131.507911,569998.0,6966.416
132.620116,568337.0,4640.0347
133.718174,568924.0,7469.876
134.827355,569027.5,7446.5415
135.927195,568526.0,5716.251
137.041849,568882.5,8323.3545
138.164662,568563.0,6897.1196
139.284652,568647.0,7802.2163
140.386038,570818.0,4205.871
141.492555,570139.5,7067.532
142.595794,570555.0,9970.206
143.710305,571520.0,4631.5493
144.8115,572863.0,8546.093
145.917957,572728.0,4774.385
147.017981,574112.5,8329.011
148.129198,573159.5,4367.7983
149.233331,574457.5,3329.7659
150.337858,573583.0,7523.616
151.438041,573583.0,5299.058
152.548557,573001.5,5103.1895
153.641567,571729.0,3764.6365
154.739327,573033.0,5406.5386
155.841246,575154.0,8297.19
156.9685,575913.5,3995.8604
158.09225,575958.5,4807.619
159.201007,575495.5,2400.6274
160.306856,573514.5,5360.5767
161.398287,575641.5,5097.5327
162.493813,576655.5,4734.08
163.620027,575637.5,1922.6233
164.735109,575948.0,3674.127
165.83,576438.0,1613.6177
166.937344,577703.5,4514.877
168.039089,576008.0,3470.48
169.164292,578425.0,5893.028
170.267944,577283.0,3856.5603
171.354505,578761.5,3884.1375
172.471935,578413.0,3719.3816
173.572158,579186.0,5321.6855
174.674412,578947.5,6354.7686
175.800556,580985.5,7107.1304
178.165719,579417.0,3321.9875
179.293304,578893.5,5377.547
180.401035,578954.5,4765.1924
181.508249,581074.5,5373.304
182.628188,579627.0,2445.1753
183.737883,579234.0,4787.113
184.862402,580209.0,1825.7498
185.969941,580762.0,3261.1765
187.1027,580695.5,2707.512
188.196757,580006.0,5372.597
189.315999,581653.0,3074.5002
190.411292,583198.5,1883.0254
191.517912,584494.0,3582.203
192.636296,584435.5,1188.6465
193.737869,584092.0,3766.0508
194.844523,583958.0,3425.2253
195.935644,584728.0,3135.3115
197.042035,583385.5,2810.7495
198.14204,587367.5,3346.7363
199.23619,584947.0,1282.6917
200.334846,586474.5,5118.746
201.425244,586729.5,2839.0337
202.52249,588183.5,593.2626
203.63421,583262.0,2511.6433
204.756007,587601.5,823.7794
205.853242,586480.0,3812.7197
206.957206,585629.0,364.8671
208.076345,585589.0,5706.3516
209.186265,586961.0,3139.5542
210.299049,585269.0,7209.6606
211.410323,586932.0,2391.435
212.511173,585948.0,2770.4443
213.61713,588280.5,4240.5195
214.715221,587467.5,6723.8784
215.844846,585258.0,5126.524
216.939059,588205.5,6735.192
218.028402,586151.5,4688.825
219.133494,586545.5,7706.757
220.231862,585948.0,5785.548
221.331295,583575.5,5892.321
222.449847,589136.5,5335.1206
223.557233,587937.5,4728.423
224.672538,588091.0,6188.5986
225.77289,588683.0,5579.0723
226.875895,589867.5,9702.212
227.993017,587299.0,5440.4795
229.097117,589278.5,10362.649
230.198014,590104.0,7775.346
231.311218,590317.5,6910.5547
232.402143,588843.5,7036.4194
233.52653,590660.0,7359.5674
234.624847,589531.0,6665.1885
235.717222,591236.5,7303.706
236.825916,591589.5,8330.425
237.920601,591816.0,7585.8413
239.025747,594202.0,8884.09
240.134828,594193.5,9898.788
241.233451,592927.5,8635.8955
242.324975,591361.5,7576.649
243.424242,593554.5,8874.897
244.52853,595109.0,7386.4375
245.639464,595706.0,9312.597
246.754492,593306.0,5543.7173
247.861243,596326.0,8942.072
248.967574,595819.0,8647.916
250.086017,596427.5,10696.404
251.196372,596963.5,12031.422
252.308018,596580.5,10833.583
253.410048,596639.5,9904.444
254.538328,597034.5,10761.458
255.637123,598696.0,8530.536
256.74921,599406.5,11846.16
257.870989,600000.0,11961.418
258.972313,600041.0,8987.327
260.078789,600247.0,9011.369
261.197338,600325.5,6504.6753
262.332435,601852.5,7175.0127
263.460351,601223.0,8366.487
264.569432,600102.5,6104.4526
265.696808,603635.5,10522.456
