time,signal,stdev
0.635702,551953.0,18.384777
1.856295,551743.0,869.74133
3.045441,552501.0,1318.047
4.282095,548786.0,1568.3628
5.507021,552292.5,5227.6406
6.702236,554655.5,919.9459
7.889273,553688.5,740.3408
9.089483,553256.5,2112.128
10.273712,553551.5,4.9497476
11.461531,555580.5,553.6646
12.644563,556160.0,763.67535
13.823944,554278.0,1842.7202
15.424625,556645.0,1849.7914
16.614502,554634.0,995.6063
17.818087,553791.5,812.4657
19.006498,555154.5,185.96909
20.19646,554769.5,1768.474
21.413808,554902.0,1756.4532
22.638394,553571.5,174.65538
23.869518,550459.0,2556.8982
25.083894,548856.0,916.4104
26.278133,549641.0,59.39697
27.462513,550614.5,4347.9995
28.63882,548130.5,1498.3593
29.893912,550867.0,2843.9834
31.078933,551256.0,1821.5071
32.254248,552603.0,3245.62
33.429737,553693.0,2093.0361
34.607082,553309.5,2286.0762
35.784108,551421.5,710.64233
36.967011,554370.5,5749.4854
38.144892,553809.0,1073.3881
39.325141,554239.0,2173.6462
40.514984,551245.0,1725.3406
41.696316,554589.5,2158.797
42.873863,554078.5,3720.0886
44.04017,555760.0,5379.6685
45.240433,553730.0,1279.8633
46.424452,556065.0,2102.9355
47.606225,556633.5,798.32355
48.803103,557297.5,3570.1821
49.984289,555101.0,4580.6377
51.161016,557300.5,2042.8315
52.352832,557237.5,1573.3126
53.533414,556680.0,24.04163
54.73882,558863.0,3109.8557
55.920821,559115.0,1643.3162
57.0952,557003.5,4203.7495
58.277684,557151.0,2824.1846
59.469953,556234.0,929.1383
60.666124,557822.5,1455.9329
61.784252,559009.5,2476.995
62.862582,559782.5,1192.8892
63.950416,557766.0,511.9453
65.042007,561157.5,1421.9917
66.117851,558437.5,2219.6082
67.193672,558980.5,50.204582
68.281322,559377.5,2543.4631
69.368804,557394.5,235.46655
70.470717,558080.5,576.29205
71.553396,557999.0,2258.499
72.644442,557860.5,659.73065
73.767898,557648.5,2812.1636
74.85746,556205.0,684.4794
75.957413,558959.0,2496.087
77.045602,558087.0,1998.2838
78.129441,559418.0,715.59204
79.215742,558815.0,683.0651
80.309288,559131.5,1567.6558
81.412888,560182.0,704.2784
82.499244,560719.5,3018.6387
83.575679,561899.0,4754.586
84.668339,560803.0,1204.9099
85.760236,563008.0,1916.2594
86.85364,563088.5,2212.537
87.94677,560575.5,170.41273
89.038277,564508.0,3073.0862
90.116198,564776.0,3797.1633
91.200493,560601.0,240.4163
92.283978,562073.0,677.4083
93.370334,560907.5,531.0372
94.455688,563158.5,2735.7961
95.539719,563595.5,4046.772
96.63877,563675.5,1670.8933
97.734459,564699.0,3350.272
98.836035,563613.0,3256.9338
99.927608,563743.5,1240.9724
101.019477,565601.5,24.748737
102.106634,566572.0,1452.3973
103.196909,563720.5,1597.3542
104.288229,565684.0,903.6825
105.383615,566275.0,882.46924
106.475128,569559.5,3666.3486
107.576322,568628.5,1714.7339
108.685618,569869.5,1409.2638
109.776807,571535.0,462.44785
110.877363,570788.0,2160.9182
111.968621,571932.0,158.39192
113.048205,571134.0,175.36249
114.118564,570741.0,28.284271
115.19425,571960.0,384.66608
116.289567,572419.5,3932.2207
117.37163,575147.5,2014.5472
118.45382,573901.0,933.381
119.533923,573496.5,3089.3494
120.62065,574288.0,985.70685
121.695751,575010.5,1581.7979
122.7756,578024.5,1561.9989
123.851618,578186.0,398.80823
124.930937,577968.5,423.55698
126.003525,578494.0,1021.0622
127.074093,580368.5,249.60869
128.167292,579538.0,2217.4868
129.2543,580539.0,173.94827
130.329548,582206.0,2114.2493
131.404118,582636.0,1062.0743
132.489247,582020.5,655.488
133.575377,581318.0,3590.6882
134.656506,582361.5,58.68986
135.751828,584229.0,687.3078
136.828047,584960.5,348.60364
137.903566,584624.5,55.861435
138.978455,584466.0,294.15643
140.075041,584979.5,1680.7928
141.149116,583863.5,1539.3715
142.228038,587088.0,625.0824
143.301321,586963.0,2356.0798
144.391957,584238.5,364.16
145.480846,590198.0,1525.9364
146.553515,587729.0,2866.6108
147.635895,591494.5,3759.6868
148.717795,592937.5,4096.2695
149.792028,591559.0,2497.5012
150.879727,591183.0,2532.8564
151.962105,590603.5,2690.5413
153.047775,593882.5,3202.4866
154.129727,594991.0,5511.1904
155.205812,595696.0,5846.359
156.284178,594604.5,3645.1355
157.372474,596868.0,3429.4678
158.447999,597291.0,2983.9907
159.520725,597495.5,4261.7324
160.594986,601471.5,7361.6885
161.668151,600251.5,4479.5215
162.764334,600970.0,6266.3804
163.848569,601481.0,5714.837
164.929432,604134.0,3016.5176
166.011126,604097.5,5562.809
167.093838,604533.0,6253.6523
168.18413,604097.0,4333.1504
169.270179,607292.5,6515.989
170.347045,607325.5,5357.748
171.424494,610462.5,6470.734
172.508159,611976.5,8501.545
173.59035,612138.5,4118.897
174.687591,615985.0,3477.5513
175.764461,614982.5,1393.7075
176.838574,618172.0,4157.788
177.922884,619397.5,6015.3574
178.996986,620318.5,6817.2163
180.095274,620772.0,3668.47
181.171288,624148.0,857.0134
182.250151,625308.5,3417.447
183.348338,625475.5,4547.404
184.442091,624382.0,4623.064
185.518054,625300.5,14.849242
186.604112,629565.0,3082.9856
187.687927,628282.0,2423.9622
188.775255,629635.5,999.1419
189.857848,628706.0,318.19806
190.945827,626874.5,798.32355
192.049018,626137.5,648.41693
193.135444,626415.5,789.83826
194.212697,625296.5,706.39966
195.291598,626230.0,552.9575
196.368709,623524.0,1409.971
197.475257,623081.5,630.03217
198.57401,623861.0,1398.6572
199.672311,623036.5,60.104076
200.754206,619102.0,131.52187
201.846585,623199.0,342.2397
202.934154,623790.5,4108.9976
204.018814,623322.0,2107.1782
205.102652,623378.0,934.79517
206.184055,622688.0,356.3818
207.264885,625066.0,1291.177
208.343355,622165.0,1019.64795
209.441648,624541.0,1400.0714
210.535655,623219.0,2801.5571
211.625425,626299.5,2222.4365
212.705808,624424.0,2477.7021
213.813501,624865.5,891.6616
214.911962,621550.5,3728.574
215.996592,623613.5,620.1326
217.078856,623113.5,41.7193
218.165138,624310.5,2587.3037
219.25735,621843.0,3053.287
220.35625,623472.0,776.40326
221.440814,623997.5,601.74786
222.531657,624598.0,1260.0643
223.618037,623303.0,2375.879
224.711582,622688.0,1770.5953
225.805613,623680.5,65.76093
226.904848,622704.0,289.9138
227.988592,622492.5,696.5002
229.077007,623064.5,902.97534
230.15837,625999.0,340.82547
231.248247,623739.5,864.79156
232.351885,624754.0,349.31076
233.446932,624608.5,707.8139
234.546072,621389.0,4323.251
235.635548,623491.5,2857.4185
236.717878,625886.0,1825.7498
237.817394,622528.0,294.15643
238.91051,622292.5,929.8454
239.99263,623350.0,2019.497
241.074987,622382.0,253.14423
242.1641,622723.0,182.43355
243.254578,623180.5,1911.3096
244.349667,622693.5,3547.5547
245.434641,622428.0,2299.5112
246.520027,622755.0,16.970562
247.614208,622356.0,158.39192
248.700404,624593.5,639.93164
249.798633,626116.5,993.48505
250.879482,625242.0,3044.8018
251.96049,625628.0,1221.8805
253.053228,624760.0,1622.1029
254.14662,623890.5,135.05739
255.237347,624616.5,529.623
256.318082,624342.5,1639.7806
257.394984,625983.0,2694.077
258.473512,624769.0,271.529
259.559372,626737.0,1739.4827
260.63756,626738.0,810.34436
261.725368,632215.5,11789.592
262.803158,627580.0,5150.566
263.883619,625459.5,2617.0022
264.962796,625888.5,686.6007
266.041892,623853.5,2433.1545
