time,signal,stdev
0.803615,545994.0,3005.2039
2.212801,543162.0,5986.3657
3.619272,548031.5,171.82695
5.033624,541981.5,2061.2163
6.482487,546566.5,583.3631
7.876436,543555.5,1867.469
9.300672,546684.0,783.4743
10.614709,545539.5,750.2403
11.8753,545962.0,2391.435
13.127709,546281.0,1125.714
14.3733,546030.5,176.0696
15.624545,545555.5,2515.1787
16.891944,548146.5,830.85046
18.248898,543968.0,2149.6047
19.629435,547834.0,1807.365
21.007187,547176.0,1060.6602
22.403978,543932.5,3929.3923
23.809905,544799.0,5262.2886
25.203583,548712.0,2972.677
26.587971,545887.0,6335.677
27.994553,545901.5,5974.345
29.377162,541646.0,1036.6185
30.749658,547902.0,2394.2637
32.132248,543663.0,6093.846
33.524876,548431.5,856.30634
34.820086,547001.5,1875.9543
36.166996,547105.0,772.1606
37.544412,547915.5,143.54268
38.916335,547071.0,155.56349
40.311208,547439.5,1513.9156
41.689853,546284.0,896.6114
43.073963,545520.0,1524.5222
44.487455,545214.5,4207.992
45.892521,546879.5,2508.1077
47.266932,543259.0,4483.057
48.601707,545592.0,3843.8325
49.9413,544643.0,2102.9355
51.295442,546519.0,675.9941
52.675386,543895.5,591.8484
54.054957,545144.0,1162.4835
