time,signal
0.58637,552583.0
1.712071,549901.0
2.830988,552376.0
3.941099,553789.0
5.038828,553819.0
6.132949,554155.0
7.219229,555203.0
8.323422,555326.0
9.422339,557252.0
10.526511,556336.0
11.631783,559133.0
12.713095,557933.0
13.80111,560564.0
14.888917,561041.0
15.965875,567644.0
17.049719,566633.0
18.128874,565779.0
19.211093,564941.0
20.299044,565883.0
21.376495,569687.0
22.453793,569586.0
23.529318,568057.0
24.600513,567539.0
25.690855,564443.0
26.779327,571007.0
27.863053,569312.0
28.953434,572535.0
30.044163,572176.0
31.132004,569537.0
32.21528,571536.0
33.293925,565699.0
34.370956,569475.0
35.458144,568615.0
36.537533,570384.0
37.632784,568174.0
38.714872,569735.0
39.799466,573703.0
40.875407,571647.0
41.95564,568738.0
43.03932,572654.0
44.118646,571639.0
45.185766,571144.0
46.262105,572463.0
47.332302,572240.0
48.403971,571892.0
49.47608,565144.0
50.550213,571756.0
51.625487,564162.0
52.696345,564058.0
53.774332,568733.0
54.942471,571763.0
56.088744,572691.0
57.19163,570998.0
58.265161,573160.0
59.340556,572680.0
60.432237,573269.0
61.506471,567209.0
62.578778,565404.0
63.659529,571532.0
64.745112,573972.0
65.829084,572517.0
66.903466,567942.0
67.9835,573301.0
69.057769,571607.0
70.138242,571789.0
71.21599,569162.0
72.306872,573570.0
73.38191,574523.0
74.457475,570198.0
75.533279,571662.0
76.609665,569198.0
77.696434,570938.0
78.763262,569849.0
79.833846,572350.0
80.910049,576649.0
81.980798,572596.0
83.054563,572980.0
84.135373,572140.0
85.202456,571853.0
86.268782,571899.0
87.339824,571870.0
88.42455,572698.0
89.513583,575006.0
90.589861,571403.0
91.668701,572975.0
92.750858,570987.0
93.828738,572586.0
95.080074,569398.0
96.175229,574779.0
97.249798,572127.0
98.328312,573057.0
99.394786,568505.0
100.467353,572224.0
101.55472,572039.0
102.630457,571171.0
103.704133,573830.0
104.776122,571015.0
105.843633,572491.0
106.941598,575508.0
108.059651,571409.0
109.170877,569988.0
110.375072,571184.0
111.463397,569510.0
112.552668,571774.0
113.640004,568547.0
114.733238,569332.0
115.902053,567029.0
116.98029,571792.0
118.057515,570294.0
119.279522,571036.0
120.363145,571286.0
121.439612,571081.0
122.550081,568443.0
123.69658,570415.0
124.787427,569907.0
125.864086,574657.0
127.15813,571159.0
128.252073,570909.0
129.331863,574198.0
130.421579,574495.0
131.534155,571423.0
132.635902,574192.0
133.838262,573703.0
135.149741,572126.0
136.251376,573812.0
137.329837,573162.0
138.408443,569393.0
139.479161,571763.0
140.556855,571394.0
141.6382,574010.0
142.718131,573528.0
143.795598,574001.0
144.871466,573330.0
145.939915,573822.0
147.018004,570222.0
148.102175,575086.0
149.176858,574221.0
150.262425,573172.0
151.34202,573678.0
152.468869,569770.0
153.552806,576672.0
154.625427,574503.0
155.694655,573402.0
156.76882,572495.0
157.840087,570194.0
158.924994,577060.0
160.002776,571019.0
161.075436,573876.0
162.152626,573016.0
163.293919,571861.0
164.444439,571294.0
165.599855,573808.0
166.758687,574846.0
167.946075,571905.0
169.110323,574490.0
170.284959,572742.0
171.441297,572095.0
172.604257,577612.0
173.755208,574854.0
174.921275,571000.0
176.066387,572399.0
177.224506,567096.0
178.398916,571396.0
179.601133,571776.0
180.797464,571449.0
181.980362,573450.0
183.164856,569252.0
184.353451,566414.0
185.515132,574910.0
186.674396,572686.0
187.819894,573466.0
189.012166,568673.0
190.107384,571690.0
191.18794,575390.0
192.371456,569273.0
193.450944,570646.0
194.530005,576865.0
195.602929,576482.0
196.674752,568133.0
197.74104,572856.0
198.809948,572370.0
199.89096,572751.0
200.972525,569966.0
202.048864,574013.0
203.128261,575789.0
204.20734,570431.0
205.282488,575956.0
206.368768,577743.0
207.440336,575291.0
208.518502,576211.0
209.593123,568944.0
210.665637,574923.0
211.752023,574261.0
212.837334,572306.0
213.931582,575104.0
214.997677,571956.0
216.075459,574892.0
217.161851,573557.0
218.336045,573262.0
219.409391,572140.0
220.484568,574559.0
221.599784,576786.0
222.706217,572742.0
223.789837,571335.0
224.878106,572989.0
225.962883,578914.0
227.04223,579012.0
228.174446,572755.0
229.361766,573296.0
230.568728,573119.0
231.647259,570672.0
232.715864,576154.0
233.789214,574944.0
234.878424,575076.0
235.955471,575617.0
237.023683,572928.0
238.085457,578345.0
239.152724,575695.0
240.217776,576549.0
241.296374,573824.0
242.367019,573428.0
243.434397,574284.0
244.510495,574694.0
245.577157,573936.0
246.659297,572501.0
247.756399,570587.0
248.839362,568221.0
249.928651,571090.0
251.00837,571763.0
252.196486,570176.0
253.351797,570011.0
254.514551,568673.0
255.69002,566603.0
256.855333,571851.0
258.025618,569967.0
259.196654,571547.0
260.365232,570812.0
261.515949,567668.0
262.624749,570106.0
263.728357,568585.0
