time,signal
0.563288,548747.0
1.666291,551617.0
2.765822,552766.0
3.878781,552771.0
4.968854,556202.0
6.056655,555492.0
7.139201,554116.0
8.227642,555588.0
9.301178,556441.0
10.393058,558114.0
11.487083,555360.0
12.573678,556567.0
13.64519,554271.0
14.720297,555016.0
15.796015,557385.0
16.86746,558089.0
17.968831,558564.0
19.045456,558849.0
20.116357,557730.0
21.19267,556339.0
22.26808,557151.0
23.347139,557335.0
24.429869,556712.0
25.511147,555941.0
26.592151,553714.0
27.672902,548765.0
28.758515,553390.0
29.861514,552645.0
30.946114,551033.0
32.028487,551170.0
33.112601,552207.0
34.196144,553112.0
35.295162,552633.0
36.383246,551164.0
37.483726,552418.0
38.574731,552412.0
39.658121,550946.0
40.741121,550546.0
41.8296,551572.0
42.91208,550455.0
43.996782,550986.0
45.080306,550413.0
46.162416,549522.0
47.261986,551699.0
48.345974,550323.0
49.42808,552744.0
50.509899,550342.0
51.593152,551244.0
52.690983,551562.0
53.778259,552360.0
54.85979,550549.0
55.943275,549653.0
57.024999,550436.0
58.112697,547431.0
59.205312,551591.0
60.29308,552601.0
61.373301,552713.0
62.451606,553350.0
63.532028,552042.0
64.62765,554070.0
65.716745,553049.0
66.800178,551173.0
67.882389,550982.0
68.963879,551635.0
70.059343,552105.0
71.144833,551560.0
72.229218,551403.0
73.31203,552642.0
74.39242,551618.0
75.474757,552016.0
76.561984,551509.0
77.648218,550771.0
78.740075,551249.0
79.826444,549824.0
80.908746,551548.0
82.006473,551230.0
83.093029,551823.0
84.176988,550255.0
85.258957,551600.0
86.345491,544702.0
87.447136,550030.0
88.546777,551189.0
89.632062,552465.0
90.71393,551608.0
91.794857,551984.0
92.877451,550145.0
93.970478,551238.0
95.054496,551123.0
96.136023,551021.0
97.217912,550256.0
98.301832,550290.0
99.398705,551535.0
100.482308,550953.0
101.565247,551789.0
102.653937,551401.0
103.74008,549885.0
104.834643,550533.0
105.920744,551705.0
107.002119,550907.0
108.086848,551497.0
109.169329,550549.0
110.251568,551891.0
111.334561,550906.0
112.41679,552089.0
113.498235,551207.0
114.580127,552012.0
115.664714,550854.0
116.762204,551171.0
117.848006,549141.0
118.931557,551458.0
120.016221,551456.0
121.101184,550465.0
122.192248,550137.0
123.278816,550880.0
124.365432,551223.0
125.45045,550494.0
126.532399,551575.0
127.615159,550641.0
128.704548,549938.0
129.787345,551577.0
130.868137,552124.0
131.952271,551441.0
133.031789,550348.0
134.128078,552546.0
135.213251,550384.0
136.2973,552713.0
137.383816,549891.0
138.46895,550725.0
139.564221,553406.0
140.65618,550022.0
141.740067,549711.0
142.822603,551301.0
143.903445,552284.0
144.98777,552053.0
146.076847,550960.0
147.158572,550172.0
148.242512,551283.0
149.322606,545695.0
150.406161,550431.0
151.508733,551831.0
152.595301,552549.0
153.681748,550944.0
154.76869,551377.0
155.850821,552589.0
156.94047,551054.0
158.028749,552285.0
159.110175,551309.0
160.192853,551922.0
161.274475,553251.0
162.35345,553089.0
163.446498,552379.0
164.527636,551105.0
165.60828,551723.0
166.688093,552704.0
167.77035,551750.0
168.868633,552677.0
169.956956,551213.0
171.043652,553048.0
172.13139,553811.0
173.212908,551723.0
174.301252,551124.0
175.383871,550766.0
176.468854,554063.0
177.559984,546901.0
178.642726,552416.0
179.73,550884.0
180.825459,551211.0
181.903933,552475.0
182.986769,551814.0
184.073707,551700.0
185.161414,551790.0
186.257763,551639.0
187.351189,552146.0
188.434973,553560.0
189.521137,551489.0
190.601378,551101.0
191.686692,546204.0
192.77205,553053.0
193.855755,551594.0
194.9363,551730.0
196.020186,551380.0
197.100889,550243.0
198.196713,549709.0
199.288119,550328.0
200.372466,546640.0
201.456891,549719.0
202.536875,551386.0
203.63049,550463.0
204.722903,552537.0
205.807582,550862.0
206.886638,549703.0
207.969113,551925.0
209.05221,551587.0
210.135824,550806.0
211.218467,550632.0
212.300917,551116.0
213.383356,551622.0
214.465508,553108.0
215.562007,552947.0
216.65521,547267.0
217.741576,552685.0
218.826434,551285.0
219.914919,547842.0
221.010118,550808.0
222.100536,552257.0
223.182307,550007.0
224.261989,551892.0
225.341213,552040.0
226.430286,551550.0
227.514483,551646.0
228.596365,550604.0
229.676939,546802.0
230.75925,550636.0
231.84239,551151.0
232.942685,546507.0
234.027794,551762.0
235.113233,552761.0
236.197377,550556.0
237.276603,551450.0
238.373517,550642.0
239.457597,552313.0
240.540975,551582.0
241.62609,552601.0
242.709508,550787.0
243.792018,550860.0
244.877814,551899.0
245.961787,550497.0
247.051555,553094.0
248.132981,551908.0
249.216173,551450.0
250.317588,550544.0
251.407356,550329.0
252.490716,552389.0
253.577065,549589.0
254.658409,550370.0
255.756124,551118.0
256.841014,552427.0
257.921797,550811.0
259.001691,549136.0
260.081086,551442.0
