time,signal,stdev
0.560253,559422.5,13960.409
2.152743,562033.0,14985.007
3.271793,561204.0,13067.333
4.36373,564998.5,19658.275
5.450541,566545.0,17369.371
6.554212,565135.5,22505.088
7.646064,568918.0,18755.3
8.750119,568578.0,20197.799
9.83134,568136.5,18200.22
10.918198,566990.0,16829.14
12.013625,568370.5,20050.012
13.100217,568000.0,12162.236
14.18475,572449.0,19414.324
15.268733,568669.5,15096.022
16.369231,570246.0,16762.674
17.461118,569723.5,14274.364
18.548131,571276.5,15224.716
19.638506,571614.5,12447.2
20.722436,570651.0,18121.732
21.805409,567911.0,16400.635
22.883884,565680.0,15017.534
23.992841,566419.0,12831.159
25.072885,566483.0,16044.253
26.161232,563866.5,16654.486
27.254974,566296.0,14649.838
28.341114,565752.5,14091.932
29.430493,567001.0,13541.095
30.512527,566908.0,15966.471
31.62572,562946.0,11486.242
32.71185,567150.0,10640.543
33.793906,567021.0,11033.694
34.883038,565938.0,13328.963
36.001146,564534.5,10287.696
37.081193,566530.5,13526.246
38.166668,566533.0,9755.245
39.245056,565047.0,13292.193
40.318675,566779.5,15712.62
41.417799,565032.5,14931.974
42.513593,566168.5,16165.168
43.600809,566827.0,15037.333
44.684818,567000.0,14171.834
45.779047,566786.5,11655.241
46.918564,566977.0,10175.267
48.02237,566491.0,10854.089
49.109872,566039.5,15497.659
50.199174,565393.0,11993.945
51.36786,564218.5,15899.296
52.528775,567518.5,13240.574
53.686531,566955.5,11648.17
54.848482,564131.5,13370.682
56.007018,565290.0,16639.637
57.194746,568241.5,14468.111
58.381035,567055.0,13132.387
59.552723,569156.5,17351.693
60.740028,568864.5,15524.529
61.922328,569025.0,14713.478
63.085308,570147.0,14605.998
64.286204,566630.5,16070.416
65.450431,566989.0,16325.682
66.624791,566160.5,16020.918
67.802437,566126.0,17564.533
68.952491,569405.0,12645.897
70.122559,567114.0,11088.849
71.238028,567872.0,12686.91
72.304825,568143.0,12305.072
73.382279,565264.5,14345.075
74.448825,569401.0,10994.097
75.510709,571713.5,13783.633
76.586132,571797.0,7093.6953
77.659095,569690.5,11368.156
78.720224,568634.0,11788.884
79.779651,572480.0,6765.5977
80.860392,569614.5,6873.785
81.934885,569544.0,5932.6255
82.996751,572483.5,8911.667
84.066106,573910.5,10996.218
85.123975,571514.0,12402.652
86.183192,572834.0,12289.516
87.261008,572889.5,13954.753
88.328455,573546.0,11323.607
89.390848,572290.5,14049.505
90.464505,571987.5,10902.88
91.529944,572690.5,11034.401
92.592023,571508.5,12670.646
93.6778,574149.5,12478.313
94.740579,573226.5,14875.405
95.805265,575654.5,13328.256
96.881892,575597.5,12580.137
97.9366,576572.5,14016.978
99.004706,572770.0,13221.482
100.072453,578113.0,15491.295
101.133325,574358.5,16199.109
102.18411,580078.5,6350.526
103.233882,578390.0,8540.436
104.298886,577437.0,14861.971
105.367908,576576.5,9828.077
106.443024,577840.0,11498.971
107.494022,580661.5,12383.562
108.548068,580347.0,7752.7188
109.594912,584245.5,9908.6875
110.649539,581020.5,11178.651
111.702508,580118.0,11648.877
112.750734,580182.0,8171.326
113.806834,582307.5,10881.666
114.862975,583334.5,7497.453
115.911339,584559.5,10389.5205
116.981317,585436.0,10608.016
118.037691,583187.0,10523.163
119.078253,586785.5,5007.023
120.126729,586654.5,3701.7039
121.176207,589094.5,5121.574
122.218528,587276.0,8117.586
123.273339,589535.0,2701.148
124.312758,587423.5,5233.2974
125.348208,590981.5,9006.419
126.398964,588471.5,6244.46
127.43969,589790.0,7146.021
128.492251,590017.5,7066.118
129.555794,589986.5,14311.134
130.598561,589088.0,9312.597
131.641338,591599.5,12457.101
132.696523,592566.0,12153.751
133.740463,592399.0,11552.711
134.794532,592094.5,10583.268
135.84112,593154.5,12669.232
136.887721,593611.0,10257.291
137.943144,592948.5,11185.723
138.988504,598448.0,3698.1685
140.036871,596594.0,9550.184
141.077398,598029.0,7363.81
142.118856,597462.0,9083.493
143.156095,598871.5,6733.778
144.206639,606297.0,4545.282
145.245083,602763.5,4045.358
146.285405,600594.5,5750.8994
147.332854,600608.5,5468.0566
148.367571,603664.5,6520.2314
149.402128,608043.5,2945.0996
150.448565,605620.5,9186.024
151.496479,606199.0,7783.8315
152.543098,608261.0,4430.731
153.578872,609920.0,2750.6453
154.622077,610051.0,3671.2983
155.659867,610779.5,5835.7524
156.69032,615252.5,3616.851
157.737626,614809.0,1723.9264
158.781978,615063.0,7015.9136
159.82013,614259.0,6167.3853
160.860814,614238.0,8543.264
161.9241,618264.0,8503.666
162.968782,616902.5,6658.8247
164.007851,619750.0,8027.076
165.05551,618585.5,7771.8105
166.105119,622188.0,6810.8525
167.137434,621709.5,3995.8604
168.173667,625185.5,6448.107
169.232866,626134.5,8029.1973
170.271022,626231.0,7546.2437
171.305002,626597.5,5356.334
172.352089,627196.5,5893.735
173.390351,629631.0,9141.477
174.440745,630122.5,5687.26
175.486635,630692.0,6989.0435
176.521233,633218.5,8814.086
177.571278,632644.0,8445.684
178.61202,633544.0,10588.217
179.648419,634673.5,9094.101
