time,signal,stdev
0.679066,547376.5,1464.4181
1.921787,546536.0,1199.253
3.146204,546249.0,965.90784
4.498389,546214.5,724.7844
5.864821,546644.5,665.38745
7.260036,545424.0,1077.6307
8.634877,546671.5,1348.4526
10.000417,546415.0,1332.1892
11.368978,545783.5,96.87363
12.74779,546505.5,2085.2578
14.103424,544999.5,202.93965
15.472374,545264.0,738.2195
16.826719,547145.5,833.6789
18.184147,547013.0,544.4722
19.433766,545893.5,241.12341
20.755916,543686.5,1636.9521
22.1072,546336.5,417.90012
23.469445,547074.5,2117.785
24.856494,545313.0,4720.645
26.21494,542159.0,1.4142135
27.579145,547016.5,772.86774
28.945269,540820.5,2781.051
30.320608,547827.0,1308.1476
31.703774,545060.5,258.09396
33.065417,545329.0,1680.0857
34.434658,546948.0,1916.2594
35.807998,544597.0,1467.9537
37.194116,545047.0,118.79394
38.556664,546120.5,3985.961
39.908714,545396.5,1547.8567
41.273106,544466.5,808.223
42.516677,545662.0,702.86414
43.861399,546407.0,1702.7131
45.230966,545983.0,1432.5984
46.59516,545874.5,662.5591
47.998262,545256.0,1153.9983
49.365727,545271.0,1319.4613
50.712351,543981.5,1496.9451
52.062793,545344.5,4414.468
53.43382,547145.0,4005.0527
