time,signal,stdev
0.619818,551060.0,4157.788
1.842476,552042.0,4555.1816
3.044153,554806.5,647.0027
4.212236,554661.5,164.75587
5.39554,551658.0,980.05
6.572178,550656.0,1209.1526
7.75212,554405.5,50.204582
8.944713,552677.0,4176.173
10.140595,555355.0,678.8225
11.324882,554954.0,124.45079
12.499241,553929.0,306.88434
13.68348,553097.0,1153.9983
14.872895,552536.0,1170.9689
16.064344,553505.5,3.535534
17.234614,555703.0,2237.286
18.399495,557052.0,750.9474
19.570929,556352.5,3490.986
20.761935,553285.5,1154.7053
21.932,552431.5,1263.5999
23.115112,550987.5,256.67975
24.294998,555458.5,2073.944
25.462703,555205.5,361.33157
26.624598,553387.0,1388.7577
27.796417,554309.5,2356.7869
28.959793,553638.0,914.99615
30.146292,553680.5,420.72855
31.332487,553505.5,1167.4333
32.497586,554685.5,1262.1855
33.673917,555984.5,1141.9774
34.832789,554272.0,524.6732
36.023312,554204.0,1122.8856
37.193816,553918.5,488.61078
38.366712,557049.5,3256.2266
39.541808,555196.5,1857.5695
40.703885,557335.0,258.8011
41.899428,558565.0,463.86206
43.065479,558389.0,110.308655
44.235389,556901.0,442.64883
45.398014,558473.5,1150.4628
46.570993,558455.0,876.81244
47.7779,556798.0,1114.4003
48.96532,556831.5,2085.2578
50.126304,558439.0,254.55844
51.289756,554916.5,82.73149
52.444652,557882.0,288.49957
53.617864,557779.5,1181.5754
54.779968,557650.5,2064.0447
55.946461,555863.5,1574.7268
57.108549,558941.5,837.9215
58.268543,557326.5,3329.7659
59.434058,560154.0,2877.9246
60.62615,555336.5,265.16504
61.801154,556751.0,1658.8726
62.989577,556050.0,57.982758
64.144711,558030.0,1185.111
65.318176,560345.0,859.84186
66.485414,559191.5,440.52753
67.644332,558289.5,2096.5715
68.827899,558677.0,3880.602
69.992627,558610.5,1286.2273
71.163776,558402.0,1609.375
72.325117,559841.5,1044.3967
73.495328,557902.0,588.31287
74.653534,557946.0,1275.6206
75.841154,557789.0,393.15137
77.021516,558629.0,1405.7283
78.199345,556644.5,58.68986
79.355701,558516.5,1816.5574
80.524093,562212.0,411.53613
81.705008,559705.5,1757.1604
82.890094,560546.5,3157.2317
84.060519,562455.5,2106.4712
85.222765,561205.5,2076.7727
86.393974,559235.0,2668.621
87.55336,560877.5,1581.7979
88.726823,563168.5,4685.9966
89.920753,559280.0,236.17366
91.087934,564785.5,2977.6265
92.25892,564725.5,2054.1453
93.432017,562464.0,1183.6968
94.59197,564079.0,773.5748
95.793342,563861.0,87.681244
96.953409,564018.0,2165.161
98.120526,561219.5,1239.5582
99.290678,567295.0,3481.7937
100.469582,570498.0,2940.15
101.641286,568067.0,2070.4087
102.827664,567250.5,137.88582
103.992165,567148.5,2833.377
105.165955,566857.5,2922.4722
106.351208,569615.0,1240.2653
107.507842,569909.5,2260.6204
108.728066,568813.0,2102.9355
109.884411,569665.5,2346.8875
111.059736,569239.5,468.8118
112.230274,570033.5,624.3753
113.39989,572816.5,386.7874
114.555674,572070.0,636.3961
115.707906,575630.5,648.41693
116.891052,573051.0,1006.92004
118.048255,575311.0,835.80023
119.204413,573636.0,39.59798
120.368211,573599.5,306.17725
121.549799,575391.5,127.98633
122.748543,575137.5,2402.0417
123.921758,577279.0,709.9352
125.093972,578149.5,174.65538
126.260387,575828.0,804.6875
127.427647,576630.5,645.5885
128.641923,577125.5,4702.9673
129.803365,577674.0,4787.113
130.973041,577682.5,3069.5505
132.140024,577258.0,2365.9792
133.296826,577024.0,319.61227
134.493395,577888.0,110.308655
135.645966,579313.0,610.94025
136.818711,580299.5,3625.3364
138.001944,580571.5,3399.0623
139.157542,579468.5,5056.5205
140.338322,579458.0,3034.9023
141.516917,584251.5,2943.6855
142.682163,583081.0,5093.997
143.858562,582223.0,4220.013
145.027728,583173.0,1681.4999
146.201614,584194.5,4094.8552
147.358889,583974.0,1926.1588
148.512717,586218.0,1627.7598
149.670862,587504.0,3361.5857
150.838772,586346.0,2201.9304
152.023725,587752.0,4262.4395
153.187857,591160.5,3130.3616
154.339256,589282.0,1497.6522
155.50816,590377.5,4332.4434
156.663495,593005.5,2686.2986
157.840614,593997.5,1672.3075
159.031472,593955.0,3225.821
160.206396,595481.5,3069.5505
161.36477,598032.0,2214.6584
162.522687,600331.0,644.8814
163.685641,598874.0,888.1261
164.870738,601387.0,3043.3877
166.04655,602177.0,502.0458
167.206064,602476.5,965.20074
168.367505,601564.5,1571.8983
169.53684,605113.5,3263.2976
170.718836,606827.0,1880.904
171.896807,608275.5,625.7895
173.060046,609133.5,3186.9302
174.227908,609572.0,1926.1588
175.398788,611042.5,2083.8438
176.573068,612460.5,1136.3206
177.738629,613649.5,726.19867
178.905748,614264.5,217.08179
180.082933,616201.5,1083.9948
181.288655,617900.5,2035.7604
182.447571,619646.5,751.6545
183.608034,620359.5,2175.7676
184.769585,620719.0,560.02856
185.948382,620244.0,1931.8157
187.119164,624642.5,731.8555
188.273693,625892.0,1289.7628
189.438243,626071.5,3017.2246
190.589455,625652.5,2704.6833
191.782284,628999.5,1378.1511
192.963726,629139.5,1446.0333
194.1338,629417.5,1348.4526
195.308689,632009.5,456.08386
196.483743,631831.0,3040.559
197.653968,631293.0,905.0967
198.836844,628614.0,1938.8868
200.006403,629699.5,842.1642
201.176918,628140.0,1808.7792
202.361632,627215.0,2548.4128
203.541649,626739.5,3871.4097
204.722212,626072.5,1267.8424
205.898405,625352.0,1112.9861
207.088756,624792.0,1841.306
208.260656,625715.0,1271.378
209.455324,624285.5,1881.6111
210.628678,622988.0,585.48444
211.832317,622060.5,279.3072
213.040087,622526.5,662.5591
214.223531,622387.0,304.0559
215.425334,621535.5,347.18942
216.637884,621935.0,2207.5874
217.817127,622237.5,506.99557
219.020648,622260.0,2070.4087
220.19347,623884.5,523.9661
221.376137,623734.5,3143.0896
222.550522,622451.5,1874.54
223.728855,622548.5,2345.4731
224.926353,622138.0,1139.8561
226.131653,623087.0,166.8772
227.315711,624253.5,1673.7218
228.494032,622653.0,251.73001
229.677457,623309.0,2036.4675
230.890735,624499.5,928.4312
232.065268,622712.5,648.41693
233.242993,622771.0,1773.4238
234.422193,624364.0,1788.9801
235.605104,622235.0,1299.6622
236.802891,624244.5,975.1003
237.983081,624711.0,2344.766
239.164701,624242.0,769.33215
240.338231,623796.0,3360.1714
241.524559,625155.0,3009.4465
242.696407,624229.5,3229.3567
243.87731,625320.0,3767.4648
245.060169,623108.5,1967.8782
246.23413,622563.0,2456.489
247.413704,626366.0,3691.0974
248.588766,620130.5,4558.7173
249.760756,625257.5,2837.6196
250.945654,625264.0,2654.4788
252.128698,625173.5,3420.2754
253.30055,624527.0,1564.1202
254.472429,624342.0,3780.1929
255.665589,625671.0,5706.3516
256.861026,626309.5,5815.953
258.057432,625421.5,4951.8687
259.243331,624000.0,4135.1606
260.428432,625393.5,3961.9192
261.620505,624745.5,4332.4434
262.817484,624451.0,2720.9468
