time,signal,stdev
0.79258,543700.0,42.426407
2.180223,543151.0,2385.7783
3.6066,547222.5,1823.6284
5.018219,545247.0,2117.0776
6.468163,546219.0,2011.0117
7.926906,546448.5,1144.8059
9.333841,544336.0,1827.164
10.805433,545676.0,1706.9558
12.254102,542894.5,1410.678
13.950842,543786.5,1857.5695
15.358462,544790.5,990.6566
16.822655,543888.0,3152.282
18.226925,546753.5,1126.4211
19.794919,546272.5,1113.6932
21.489023,543964.0,3575.1318
23.303107,546091.5,2024.4467
24.596891,543649.0,2281.1265
26.121931,544772.0,971.5647
28.109262,544829.5,287.79245
29.462181,545033.5,1139.149
30.805516,542745.0,2989.6475
32.402273,545007.5,542.3509
33.864229,543737.5,2727.3108
35.341676,544618.0,335.1686
36.803342,545656.5,3633.8218
38.235202,543514.5,4005.7598
39.668811,544125.5,142.12846
41.122159,545898.5,3546.1404
42.587551,543517.5,45.96194
44.049256,543579.5,574.8778
45.508289,542795.0,7127.636
46.939859,545362.5,3363.7068
48.427147,543760.5,3973.233
49.86186,547286.0,1701.299
51.318457,545513.0,3023.5886
52.738076,540627.5,607.4047
54.161248,545982.5,3410.376
55.512977,543130.0,3196.1226
57.471344,543262.5,3645.1355
58.798903,544868.0,2841.155
