time,signal,stdev
0.901048,541340.5,6713.979
2.425083,542777.5,706.39966
3.959364,543622.5,1604.4253
5.408526,540691.0,869.74133
6.872317,543653.0,67.88225
8.303137,544194.5,610.23315
9.742422,544351.0,234.75945
11.23171,543344.0,1022.4764
12.729755,544796.5,2174.3533
14.202346,544949.0,1371.7871
15.663684,545558.0,2661.5498
17.118649,542347.0,3672.7126
18.609156,545229.0,984.29266
20.101077,542465.0,4009.2954
21.557114,545966.5,385.3732
23.035714,545578.5,573.4636
24.542686,545181.5,1134.9064
26.006127,544624.5,1320.1683
27.473786,544651.0,841.4571
28.95234,542408.5,494.26764
30.427534,543634.0,1938.8868
31.849191,546654.5,812.4657
33.301055,544207.5,3425.9324
34.80187,544817.0,124.45079
36.276701,547424.5,1580.3837
37.743293,545125.0,144.24979
39.194782,544779.5,1798.1725
40.686145,543618.5,1289.0557
42.158478,542615.0,537.4012
43.691534,542975.0,1535.8359
45.155833,544486.0,2476.2878
46.664108,544844.5,4480.9355
48.129028,543873.5,3444.3171
49.597397,542334.0,3681.198
51.061557,541445.0,746.7048
52.578802,544843.5,999.1419
54.152316,545240.5,1055.7104
55.656114,544743.0,140.00714
57.120095,543613.0,152.73506
58.602826,543749.5,101.11627
