time,signal_1,signal_2
0.547128,553936.0,554263.0
1.637876,556160.0,553780.0
2.736164,560070.0,552665.0
3.816651,559687.0,557581.0
4.892332,560024.0,561372.0
5.967896,557966.0,558860.0
7.034515,562834.0,561728.0
8.104108,558848.0,561333.0
9.176864,558355.0,561015.0
10.251087,559824.0,562452.0
11.329866,561825.0,564472.0
12.389771,563858.0,558901.0
13.468258,562430.0,568956.0
14.549794,560880.0,565943.0
15.625526,562443.0,563422.0
16.698054,564604.0,564092.0
17.7584,561956.0,565124.0
18.814247,568434.0,565014.0
19.869746,568709.0,561802.0
20.934143,563459.0,560168.0
21.993049,564308.0,561309.0
23.06119,563763.0,558519.0
24.12673,561454.0,559668.0
25.201645,563066.0,562260.0
26.282523,561691.0,559686.0
27.35685,560530.0,560556.0
28.423869,559108.0,556732.0
29.487619,558559.0,557467.0
30.575913,563325.0,559206.0
31.668055,560498.0,557050.0
32.737398,557740.0,555425.0
33.81524,554703.0,557468.0
34.885353,557886.0,556759.0
35.958662,554633.0,556888.0
37.027517,556983.0,559220.0
38.120304,558525.0,554390.0
39.194685,558315.0,558061.0
40.261603,560002.0,558644.0
41.339208,556588.0,557177.0
42.411558,555657.0,560369.0
43.506055,558264.0,554568.0
44.583248,555826.0,557364.0
45.662416,558004.0,562506.0
46.746112,561881.0,558426.0
47.812724,559834.0,561202.0
48.883334,556863.0,561438.0
49.962218,559352.0,560044.0
51.033912,559720.0,559945.0
52.102953,559813.0,560905.0
53.170502,562965.0,560054.0
54.239607,562216.0,562321.0
55.323566,560884.0,559046.0
56.392673,558366.0,557869.0
57.458384,559407.0,560644.0
58.527761,560063.0,558442.0
59.595899,561672.0,560628.0
60.686005,561066.0,566016.0
61.782391,561933.0,559421.0
62.851905,560807.0,564079.0
63.937865,561210.0,562664.0
65.008772,562429.0,561104.0
66.086861,560500.0,559837.0
67.162503,565725.0,566280.0
68.226192,566255.0,564249.0
69.296325,564168.0,563155.0
70.358988,564740.0,562684.0
71.42355,563572.0,562803.0
72.512931,565576.0,565564.0
73.59166,561980.0,565008.0
74.671058,562803.0,562708.0
75.743561,565638.0,564313.0
76.822666,564339.0,566221.0
77.920711,564501.0,563627.0
78.992976,565886.0,562792.0
80.054795,565341.0,561316.0
81.138981,565241.0,565333.0
82.208657,563543.0,563282.0
83.268786,565537.0,564310.0
84.367896,562674.0,564534.0
85.440266,564493.0,563662.0
86.51068,565919.0,566789.0
87.57343,566055.0,564209.0
88.639095,567181.0,565397.0
89.721312,571382.0,566109.0
90.801777,568353.0,565167.0
91.873623,569339.0,565364.0
92.943013,570819.0,568679.0
94.004231,571874.0,569954.0
95.072425,568378.0,568097.0
96.148226,569612.0,566896.0
97.219811,568374.0,566059.0
98.279421,571048.0,568196.0
99.361152,570626.0,571385.0
100.429852,569366.0,566490.0
101.508395,573285.0,568229.0
102.591925,572557.0,568744.0
103.662422,572378.0,568241.0
104.741825,574616.0,567745.0
105.809573,572752.0,566175.0
106.8811,573851.0,570601.0
107.966556,573754.0,567375.0
109.033508,574258.0,567536.0
110.096061,572696.0,565592.0
111.178531,570274.0,567543.0
112.242218,568696.0,565348.0
113.323722,570705.0,567758.0
114.394387,567915.0,569878.0
115.457835,569361.0,568428.0
116.542943,570440.0,570306.0
117.607329,571390.0,567495.0
118.699046,573261.0,568241.0
119.76903,573910.0,570506.0
120.852046,573106.0,569975.0
121.930915,572809.0,569443.0
123.017113,573184.0,570853.0
124.087406,577463.0,573297.0
125.167843,575570.0,574791.0
126.253106,573504.0,569167.0
127.324156,577756.0,572530.0
128.405769,578924.0,575387.0
129.469706,580689.0,576184.0
130.565096,578338.0,572526.0
131.634474,581965.0,576006.0
132.721377,579264.0,575449.0
133.803032,582333.0,576281.0
134.872037,586418.0,578045.0
135.968119,585650.0,578874.0
137.062306,581938.0,578668.0
138.124753,583847.0,581404.0
139.211831,590420.0,581585.0
140.281656,588653.0,584738.0
141.346133,592770.0,584393.0
142.446633,590391.0,583037.0
143.521387,591595.0,586254.0
144.587924,592781.0,589014.0
145.664362,591922.0,587624.0
146.733707,592927.0,589368.0
147.839455,593059.0,590734.0
148.924513,592276.0,589299.0
149.99751,592077.0,589440.0
151.072919,593716.0,595449.0
152.161329,599140.0,593357.0
153.241115,597098.0,593946.0
154.312909,600514.0,595664.0
155.391643,599210.0,598114.0
156.470765,600016.0,598669.0
157.538884,604205.0,599706.0
158.622734,605701.0,602273.0
159.710857,604785.0,601691.0
160.779542,611829.0,606128.0
161.866048,609228.0,606278.0
162.942334,609730.0,610279.0
164.008025,614057.0,611638.0
165.113187,612619.0,614164.0
166.195655,619930.0,614815.0
167.274963,617110.0,617989.0
168.359334,618843.0,616480.0
169.433984,619187.0,615924.0
170.497891,621617.0,621324.0
171.589684,623899.0,621045.0
172.658995,622586.0,623777.0
173.743198,625105.0,621943.0
174.812195,624058.0,625380.0
175.892137,621993.0,621747.0
176.975815,624979.0,625460.0
178.042955,626619.0,626678.0
179.119843,625952.0,621738.0
180.186553,626906.0,623002.0
181.279876,625816.0,622562.0
182.361573,624875.0,622161.0
183.437963,621465.0,621383.0
184.522154,624003.0,621978.0
185.598235,622913.0,623378.0
186.68944,623516.0,622863.0
187.761415,622577.0,624790.0
188.873085,623532.0,624127.0
189.947641,625971.0,624424.0
191.020502,626231.0,623382.0
192.107818,622151.0,620748.0
193.183338,622614.0,623062.0
194.290864,621947.0,621187.0
195.366023,624228.0,623386.0
196.445148,622538.0,624426.0
197.540877,624172.0,624501.0
198.615147,622869.0,620729.0
199.687391,622398.0,620111.0
200.771977,624608.0,622659.0
201.843097,624517.0,621934.0
202.930477,623728.0,619933.0
204.00308,623238.0,619743.0
205.074047,625572.0,619325.0
206.179483,624546.0,620883.0
207.257928,623069.0,621635.0
208.325768,621519.0,620644.0
209.413971,625748.0,621446.0
210.490101,624556.0,620220.0
211.579476,623216.0,622180.0
212.669825,625737.0,620147.0
213.742864,623369.0,621619.0
214.812796,623370.0,619901.0
215.89361,623162.0,618645.0
216.971395,624966.0,620329.0
218.049344,626724.0,620289.0
219.12978,624720.0,621193.0
220.202137,623613.0,620055.0
221.294881,623508.0,621375.0
222.369223,623690.0,622872.0
223.455277,622671.0,619290.0
224.545999,623223.0,618733.0
225.624406,622631.0,617413.0
226.708308,623367.0,616623.0
227.8012,620683.0,620706.0
228.887028,620643.0,621848.0
229.978102,619806.0,621185.0
231.053395,619626.0,620673.0
232.134229,618853.0,618085.0
233.206889,620362.0,620817.0
234.296284,618308.0,621481.0
235.38952,622278.0,621782.0
236.462582,621913.0,622055.0
237.544839,621628.0,621266.0
238.626052,621390.0,622677.0
239.696009,622043.0,621471.0
240.791204,625145.0,624902.0
241.883392,622352.0,622450.0
242.962881,622358.0,622623.0
244.04835,623510.0,622110.0
245.126156,621346.0,624813.0
246.197449,622391.0,621013.0
247.284792,624231.0,620901.0
248.357878,625742.0,619735.0
249.438895,624074.0,619060.0
250.5208,624355.0,619365.0
251.590088,623024.0,623741.0
252.683415,620388.0,623080.0
253.75808,622005.0,624049.0
254.828996,620934.0,622908.0
255.914299,622389.0,622915.0
257.000853,622825.0,621312.0
258.101904,620866.0,619782.0
