time,signal_1,signal_2
0.533963,560358.0,555928.0
1.614308,562250.0,558124.0
2.697669,559794.0,554618.0
3.780568,557877.0,560583.0
4.863422,562737.0,561905.0
5.940049,559779.0,561561.0
7.014121,562247.0,563429.0
8.080605,563395.0,558886.0
9.1425,569369.0,563197.0
10.235932,565674.0,563130.0
11.29816,565925.0,563156.0
12.376117,568711.0,565293.0
13.442772,565371.0,565944.0
14.500406,571266.0,561272.0
15.568314,564128.0,566566.0
16.631411,569094.0,570355.0
17.693202,573638.0,560993.0
18.765583,568434.0,565147.0
19.842953,571188.0,567868.0
20.905622,570039.0,568274.0
21.97901,572338.0,565225.0
23.065823,566256.0,570843.0
24.135887,563172.0,569230.0
25.198633,568018.0,569962.0
26.276527,565545.0,565289.0
27.351578,564071.0,565704.0
28.432751,566394.0,564259.0
29.502069,561040.0,563797.0
30.578085,565301.0,562914.0
31.644435,562903.0,563480.0
32.732534,563771.0,560967.0
33.817602,562258.0,561580.0
34.887146,561939.0,558766.0
35.971061,564372.0,558703.0
37.040019,562941.0,560618.0
38.115477,561266.0,562280.0
39.193677,564106.0,559401.0
40.26038,561020.0,563037.0
41.334702,565817.0,562747.0
42.396643,567149.0,560617.0
43.479653,565837.0,562782.0
44.546124,565354.0,564898.0
45.611599,568067.0,564461.0
46.691507,566745.0,567300.0
47.759868,567774.0,565588.0
48.832414,564713.0,566038.0
49.910209,566305.0,564137.0
50.988995,565793.0,564389.0
52.04291,571560.0,564863.0
53.118932,567726.0,567750.0
54.181218,575542.0,567220.0
55.249139,569914.0,566783.0
56.338299,569881.0,563667.0
57.403032,571284.0,564078.0
58.495495,572061.0,563050.0
59.563048,572595.0,564431.0
60.624737,570527.0,566957.0
61.692247,571285.0,561960.0
62.765216,569319.0,562025.0
63.834923,565482.0,559509.0
64.910527,567199.0,560989.0
65.984253,565167.0,560269.0
67.042895,570968.0,558789.0
68.130979,565378.0,564321.0
69.200175,563841.0,561664.0
70.271775,568471.0,565807.0
71.332518,569738.0,565096.0
72.406778,567878.0,565762.0
73.47886,566939.0,567182.0
74.556339,572437.0,565127.0
75.644013,567772.0,565586.0
76.710808,569436.0,565993.0
77.772644,571941.0,564346.0
78.862458,568264.0,560593.0
79.950246,568643.0,564192.0
81.018301,569997.0,563891.0
82.099625,570130.0,565269.0
83.167657,570540.0,564027.0
84.22646,570534.0,568695.0
85.312908,570785.0,569801.0
86.391628,576520.0,572580.0
87.471738,572101.0,569569.0
88.536303,573798.0,569453.0
89.598861,571538.0,571067.0
90.67356,576306.0,571247.0
91.756367,574648.0,573032.0
92.823989,576818.0,574086.0
93.906171,573681.0,579162.0
94.9799,577479.0,577506.0
96.060518,577335.0,581149.0
97.133802,577701.0,578747.0
98.214228,577267.0,580876.0
99.277938,576324.0,577349.0
100.360537,578722.0,577934.0
101.425715,579725.0,576778.0
102.48562,580357.0,577868.0
103.569706,577213.0,580863.0
104.633771,574664.0,581516.0
105.696852,577936.0,576254.0
106.76914,577649.0,583155.0
107.836532,574599.0,580382.0
108.918295,579134.0,578464.0
110.011188,575697.0,585039.0
111.098679,573046.0,575311.0
112.169196,572345.0,575522.0
113.244539,577081.0,582489.0
114.324135,576373.0,581221.0
115.394997,579497.0,579802.0
116.45188,582160.0,577198.0
117.517774,581496.0,580876.0
118.58122,582242.0,581348.0
119.645998,581585.0,582223.0
120.71711,591477.0,580610.0
121.778093,591804.0,581162.0
122.840867,586661.0,582747.0
123.906827,592881.0,583831.0
124.972755,593096.0,583032.0
126.05156,597446.0,586659.0
127.111998,591750.0,581513.0
128.185792,593416.0,583875.0
129.250104,596954.0,585217.0
130.303608,596680.0,582461.0
131.380953,596933.0,582746.0
132.454387,594745.0,581425.0
133.516096,595956.0,582326.0
134.593906,595867.0,585251.0
135.665217,590145.0,585013.0
136.732381,596733.0,586532.0
137.82573,595440.0,588311.0
138.891898,594577.0,587663.0
139.955615,598998.0,590592.0
141.039622,595859.0,589043.0
142.116434,597256.0,590686.0
143.182042,598688.0,596458.0
144.274413,597674.0,595005.0
145.33584,603347.0,594275.0
146.414064,599112.0,597719.0
147.479706,603490.0,598573.0
148.545519,600207.0,598106.0
149.625487,608186.0,599968.0
150.696908,610645.0,600646.0
151.760159,611693.0,601813.0
152.842565,608065.0,604909.0
153.915787,606784.0,604950.0
154.98507,609196.0,607948.0
156.075642,611379.0,612141.0
157.152688,608970.0,611076.0
158.221613,611399.0,613355.0
159.287777,612988.0,612382.0
160.359317,613557.0,610580.0
161.44333,615641.0,612559.0
162.516265,614871.0,615283.0
163.583575,617176.0,614147.0
164.650632,613827.0,621883.0
165.718844,621971.0,617779.0
166.809521,617374.0,618403.0
167.885712,614950.0,621320.0
168.967069,619308.0,623083.0
170.043196,619762.0,621651.0
171.117948,623885.0,619394.0
172.208088,623799.0,623138.0
173.294001,627755.0,623595.0
174.359536,632606.0,623831.0
175.428599,632111.0,627360.0
176.511265,632310.0,626501.0
177.587689,629505.0,628974.0
178.671297,634774.0,628660.0
179.7567,634660.0,631283.0
180.820791,632227.0,631100.0
181.894512,633715.0,627622.0
182.958575,633727.0,631885.0
184.04595,630683.0,631994.0
185.123576,631627.0,636347.0
186.193454,634282.0,631312.0
187.287391,631984.0,631413.0
188.360959,626810.0,630523.0
189.430143,629009.0,630912.0
190.529551,628147.0,631281.0
191.603718,625498.0,630985.0
192.676137,622757.0,631536.0
193.765394,626931.0,625903.0
194.839928,627334.0,629733.0
195.92875,623818.0,629146.0
197.026523,624058.0,632986.0
198.106082,627319.0,628809.0
199.176869,626956.0,626841.0
200.26503,623757.0,625362.0
201.333329,627821.0,626675.0
202.419842,626173.0,627515.0
203.512183,623645.0,629444.0
204.588635,627035.0,626777.0
205.6678,626249.0,628602.0
206.752214,626029.0,627095.0
207.841279,626985.0,629917.0
208.920164,624558.0,630493.0
210.009506,631357.0,629643.0
211.081625,627680.0,630431.0
212.163661,626287.0,628713.0
213.25064,629089.0,629383.0
214.330308,627649.0,627833.0
215.412424,625306.0,629053.0
216.490682,624883.0,627340.0
217.576147,627521.0,632313.0
218.671585,625836.0,627904.0
219.753873,626754.0,630245.0
220.822701,628497.0,628303.0
221.901551,628322.0,627407.0
222.969273,630881.0,625763.0
224.044784,629052.0,625623.0
225.150566,629386.0,628914.0
226.231454,628140.0,629935.0
227.301124,629161.0,631339.0
228.383511,627911.0,630436.0
229.455724,630681.0,628350.0
230.554747,628364.0,625281.0
231.647964,629286.0,630894.0
232.730931,628172.0,630871.0
233.818792,625498.0,630057.0
234.901812,628900.0,630583.0
235.977576,625934.0,631114.0
237.055922,629387.0,627598.0
238.142901,629699.0,626478.0
239.21426,627311.0,629142.0
240.286495,631724.0,626743.0
241.367425,629650.0,628424.0
242.457138,629738.0,628373.0
243.553355,628212.0,626418.0
244.623747,630804.0,625200.0
245.697256,627966.0,626805.0
246.789929,627943.0,627089.0
247.872191,630069.0,625808.0
248.952022,629720.0,626190.0
250.047269,631574.0,624097.0
251.11891,632612.0,623185.0
252.182966,634718.0,624662.0
253.263305,633286.0,626932.0
254.34814,632156.0,627373.0
255.415756,630462.0,623832.0
256.492828,632688.0,625373.0
257.573466,629629.0,626091.0
