time,signal_1,signal_2
0.782703,536924.0,540464.0
2.669187,531228.0,538936.0
3.989302,538798.0,537228.0
5.256444,539514.0,538429.0
6.600091,532777.0,537872.0
7.818788,538366.0,537480.0
9.03515,531332.0,538498.0
10.299884,536712.0,531358.0
11.472786,539259.0,537555.0
12.640308,538015.0,539059.0
13.829561,538489.0,541853.0
14.990581,534976.0,536876.0
16.156801,532849.0,538165.0
17.344279,532802.0,534046.0
18.51973,532660.0,531725.0
19.714505,532852.0,535419.0
20.883866,540174.0,537872.0
22.038064,537770.0,531871.0
23.21787,533440.0,536467.0
24.380836,535469.0,531420.0
25.546967,537706.0,537645.0
26.713114,537894.0,540208.0
27.888109,537922.0,531299.0
29.07995,537589.0,538152.0
30.253555,538816.0,531489.0
31.428353,537622.0,535589.0
32.600519,536658.0,539904.0
33.767931,537153.0,531518.0
34.962656,538427.0,535293.0
36.135036,538689.0,531483.0
37.29948,537515.0,535714.0
38.465684,539987.0,537395.0
39.628129,539105.0,532440.0
40.808293,533670.0,537944.0
41.970083,542076.0,532775.0
43.279675,536448.0,536911.0
44.62368,533316.0,535252.0
45.961008,531668.0,532960.0
47.296729,541987.0,537456.0
48.637441,538741.0,532916.0
49.921472,542271.0,536701.0
51.299184,537507.0,532544.0
52.529268,533095.0,536587.0
53.745668,534266.0,538720.0
54.942391,540366.0,537559.0
56.134776,531701.0,531105.0
57.305379,536904.0,537190.0
58.491871,537812.0,534284.0
59.68181,537355.0,535358.0
60.985304,540997.0,538121.0
62.340035,536319.0,535246.0
63.710522,538298.0,536922.0
65.086145,538217.0,537827.0
66.44436,536511.0,534007.0
67.778884,532542.0,532618.0
68.981112,541897.0,536456.0
70.168424,531746.0,536201.0
71.344138,537857.0,539363.0
72.50017,537901.0,532954.0
73.648823,541085.0,535340.0
74.809325,539920.0,531435.0
75.997005,541494.0,537459.0
77.168471,538455.0,536543.0
78.327046,535134.0,537543.0
79.489828,539841.0,533967.0
80.664138,538630.0,536861.0
81.841868,541030.0,534528.0
82.998248,541419.0,538856.0
84.172156,538951.0,536223.0
85.341248,538559.0,540212.0
86.519102,533173.0,539606.0
87.694918,537682.0,531721.0
88.854032,531845.0,536835.0
90.014002,541848.0,537266.0
91.171074,537811.0,536391.0
92.328734,537572.0,539228.0
93.502848,532556.0,536111.0
94.985192,541764.0,533873.0
96.251458,540790.0,537515.0
97.435227,532195.0,537935.0
98.612516,541077.0,538556.0
100.076246,537808.0,533027.0
101.820819,540854.0,538144.0
103.258859,534707.0,534373.0
104.534644,541080.0,540875.0
106.191452,542648.0,542094.0
107.394516,532624.0,534789.0
108.677631,540408.0,537937.0
109.945625,540803.0,535346.0
111.240945,531647.0,532098.0
112.988342,541520.0,538033.0
114.234987,532126.0,540740.0
