time,signal_1,signal_2
0.640804,553797.0,557788.0
1.826919,560956.0,559243.0
3.036453,558229.0,557918.0
4.214697,559624.0,557946.0
5.40279,560934.0,558402.0
6.584812,560971.0,560595.0
7.813731,557555.0,560714.0
9.000641,557421.0,560383.0
10.175412,559256.0,563333.0
11.355525,560174.0,563497.0
12.563466,563258.0,561261.0
13.749995,556626.0,562971.0
14.935743,561184.0,557801.0
16.09281,555928.0,555551.0
17.295068,562607.0,559333.0
18.512144,558110.0,556618.0
19.727063,561253.0,563212.0
20.891264,558508.0,559734.0
22.08215,561633.0,560328.0
23.263007,562393.0,560669.0
24.436216,561279.0,559511.0
25.590559,561176.0,560980.0
26.797675,562607.0,561311.0
27.977836,564526.0,560523.0
29.204592,563944.0,564865.0
30.374396,562085.0,561067.0
31.561717,559970.0,561287.0
32.728897,560317.0,558136.0
33.928504,557153.0,557844.0
35.148105,561670.0,556501.0
36.308319,563955.0,558407.0
37.475901,561562.0,555650.0
38.668398,556940.0,556015.0
39.837867,558477.0,559448.0
41.016664,561416.0,555514.0
42.171031,559044.0,558300.0
43.386141,557681.0,560573.0
44.596077,561074.0,559444.0
45.817728,560482.0,558728.0
46.983039,559669.0,558482.0
48.147443,558239.0,556805.0
49.326861,558659.0,558512.0
50.494961,562480.0,558054.0
51.685371,558430.0,556309.0
52.871105,557210.0,557738.0
54.06196,557727.0,559036.0
55.241598,557627.0,556942.0
56.373884,559338.0,559405.0
57.552961,560591.0,559769.0
58.757815,556996.0,557000.0
59.958505,555446.0,558241.0
61.113354,560953.0,556470.0
62.291006,560075.0,557338.0
63.494781,562478.0,558694.0
64.6769,559362.0,556417.0
65.854267,559984.0,555594.0
67.00623,560481.0,557865.0
68.223328,561212.0,557690.0
69.42895,561999.0,562185.0
70.593037,561078.0,560353.0
71.726776,559113.0,561220.0
72.878863,563258.0,559164.0
74.045204,559134.0,561734.0
75.235213,562558.0,560216.0
76.395582,561107.0,563954.0
77.560872,560695.0,564872.0
78.748718,565732.0,562364.0
79.956861,561187.0,561280.0
81.119258,562403.0,562844.0
82.304943,562392.0,563916.0
83.482832,562837.0,561746.0
84.674231,561087.0,563856.0
85.860483,561183.0,564579.0
87.010627,562510.0,563615.0
88.158465,561442.0,563143.0
89.329253,565165.0,562089.0
90.498049,563417.0,564297.0
91.662309,563634.0,563344.0
92.874476,568103.0,562753.0
94.071813,564608.0,566999.0
95.261663,565282.0,566085.0
96.403431,565088.0,564361.0
97.582819,564098.0,563435.0
98.761659,567618.0,563387.0
99.92172,565937.0,567825.0
101.106029,563907.0,563859.0
102.28467,564629.0,564646.0
103.450396,565108.0,564362.0
104.627256,566171.0,567049.0
105.80038,567527.0,567696.0
106.967856,568588.0,566611.0
108.114874,568808.0,564093.0
109.281039,568211.0,567797.0
110.480927,568119.0,567047.0
111.651844,567739.0,564420.0
112.789061,568947.0,569900.0
113.919841,567979.0,570427.0
115.083388,569814.0,570560.0
116.287262,569321.0,568352.0
117.447103,570229.0,569587.0
118.588293,566406.0,569402.0
119.750879,569721.0,570529.0
120.918782,570007.0,571647.0
122.080898,572947.0,569848.0
123.249919,567653.0,569493.0
124.419701,571085.0,570534.0
125.559389,571907.0,574946.0
126.730573,570699.0,567848.0
127.916891,571081.0,571936.0
129.096055,573209.0,569842.0
130.287049,571963.0,572726.0
131.454857,572820.0,572594.0
132.623604,574772.0,571629.0
133.825796,575239.0,572994.0
135.003425,572959.0,573455.0
136.170217,576079.0,575103.0
137.363384,574593.0,573792.0
138.504932,576674.0,574226.0
139.669647,574466.0,575405.0
140.802533,578292.0,575812.0
141.949061,575507.0,575157.0
