time,signal_1,signal_2
0.558743,556979.0,556172.0
1.653663,554773.0,559786.0
2.7351,555657.0,560381.0
3.814155,558216.0,560541.0
4.890745,560605.0,561033.0
5.969586,556864.0,560271.0
7.044,562741.0,560233.0
8.112489,561215.0,562508.0
9.178804,561938.0,562892.0
10.260166,564691.0,564334.0
11.328803,564011.0,563436.0
12.404969,568307.0,563634.0
13.470392,563969.0,568659.0
14.532721,567322.0,564873.0
15.597701,564731.0,560941.0
16.653289,566824.0,564801.0
17.716072,564211.0,564493.0
18.779787,562733.0,564038.0
19.835621,569839.0,568298.0
20.888835,570172.0,559778.0
21.952089,565039.0,564566.0
23.011484,569327.0,566277.0
24.092088,562737.0,563438.0
25.169899,561702.0,567350.0
26.244078,561592.0,561211.0
27.313342,560173.0,565895.0
28.384708,557686.0,566703.0
29.465232,560016.0,565816.0
30.534307,560371.0,562371.0
31.60892,557102.0,564178.0
32.674305,558094.0,563657.0
33.750584,560473.0,561769.0
34.822061,559496.0,561065.0
35.899813,559776.0,562582.0
36.983415,559584.0,561702.0
38.053181,559505.0,561746.0
39.118649,554248.0,563723.0
40.198217,559486.0,556429.0
41.291495,554236.0,559061.0
42.37355,558760.0,560350.0
43.453443,558040.0,559390.0
44.529148,558765.0,560780.0
45.607441,556583.0,562541.0
46.689307,559111.0,563597.0
47.76167,564138.0,561890.0
48.855986,560246.0,562268.0
49.93015,559897.0,560014.0
51.003245,562834.0,561342.0
52.078827,560200.0,563410.0
53.164884,562587.0,564143.0
54.238073,563320.0,562815.0
55.313899,560848.0,559168.0
56.391751,560524.0,557567.0
57.479039,559729.0,559812.0
58.560388,562684.0,563282.0
59.644271,562452.0,561206.0
60.714104,559767.0,559810.0
61.775447,566749.0,562173.0
62.854742,560763.0,558657.0
63.923183,563021.0,563761.0
64.997099,561344.0,559924.0
66.081303,559926.0,559449.0
67.148792,560570.0,557379.0
68.222578,560030.0,559692.0
69.297712,559604.0,565118.0
70.386045,562221.0,564932.0
71.482298,562692.0,562615.0
72.565403,564623.0,566419.0
73.641607,564697.0,564242.0
74.715011,565863.0,564950.0
75.808542,565873.0,564850.0
76.883076,564283.0,564998.0
77.959985,563269.0,565834.0
79.032674,567383.0,563615.0
80.103362,566670.0,564106.0
81.163754,571967.0,566436.0
82.252873,571470.0,568968.0
83.320335,570750.0,567558.0
84.380288,568235.0,568988.0
85.451661,574907.0,568027.0
86.519476,570278.0,566438.0
87.601495,569102.0,565017.0
88.68273,570484.0,563345.0
89.747983,567781.0,567177.0
90.812336,568212.0,572304.0
91.88916,573446.0,570306.0
92.958553,570201.0,567649.0
94.022521,575219.0,567903.0
95.103989,575797.0,574433.0
96.173577,571954.0,572200.0
97.23929,570814.0,575149.0
98.321566,574687.0,572822.0
99.405518,570145.0,574832.0
100.468797,575745.0,571807.0
101.546415,574791.0,575068.0
