time,signal_1,signal_2
0.52327,557665.0,556668.0
1.608423,560704.0,560694.0
2.690184,561866.0,558457.0
3.770725,557817.0,560648.0
4.840098,558286.0,561047.0
5.9105,568103.0,562790.0
6.982364,564770.0,558264.0
8.050415,563481.0,561530.0
9.125361,566175.0,560479.0
10.184541,562681.0,561190.0
11.25236,567345.0,560920.0
12.308834,565106.0,560596.0
13.369375,565915.0,562372.0
14.442482,564245.0,563469.0
15.522839,564985.0,559183.0
16.682769,564582.0,557564.0
17.756941,557506.0,564388.0
18.823885,562544.0,563332.0
19.919595,560465.0,563063.0
20.98088,566463.0,559990.0
22.04181,560117.0,559522.0
23.114642,562217.0,562610.0
24.182422,556473.0,562365.0
25.288452,562150.0,564071.0
26.563577,561347.0,563326.0
27.795367,556407.0,562006.0
28.976915,560581.0,565555.0
30.161032,560182.0,560603.0
31.348368,559812.0,562551.0
32.52017,559449.0,565403.0
33.680552,558997.0,558685.0
34.863143,558687.0,558700.0
36.073862,557841.0,561928.0
37.272264,560292.0,561632.0
38.452262,556146.0,562426.0
39.600734,562913.0,558477.0
40.755034,558272.0,563836.0
42.021112,558311.0,561783.0
43.226124,560006.0,558361.0
44.404213,561677.0,562176.0
45.785078,562737.0,562561.0
47.297102,558984.0,561553.0
48.364494,560919.0,561168.0
49.448792,558022.0,560429.0
50.515935,558084.0,558546.0
51.630379,561942.0,559806.0
52.722294,563502.0,562721.0
53.789009,563837.0,558125.0
54.875649,562616.0,560763.0
55.944605,563491.0,559567.0
57.003873,564179.0,563462.0
58.08345,559066.0,563769.0
59.147793,561156.0,559653.0
60.215446,564492.0,562403.0
61.295138,562954.0,561721.0
62.356795,561765.0,559442.0
63.414028,561946.0,560373.0
64.48816,560828.0,560467.0
65.546486,563647.0,560314.0
66.61683,560795.0,559757.0
67.694202,562632.0,559747.0
68.769151,566472.0,562649.0
69.833946,565165.0,563548.0
70.90177,566256.0,565365.0
71.978243,564692.0,563351.0
73.037838,567169.0,564642.0
74.11564,564954.0,561935.0
75.175672,565703.0,562737.0
76.234454,568084.0,567916.0
77.306996,566788.0,564273.0
78.37687,565811.0,564610.0
79.441979,564196.0,561732.0
80.508006,565952.0,560807.0
81.574102,566729.0,564328.0
82.63292,568434.0,560632.0
83.717158,568538.0,563266.0
84.804337,567211.0,562074.0
85.869299,568179.0,562105.0
86.927349,568743.0,563658.0
87.996461,570286.0,564564.0
89.059582,568429.0,566409.0
90.120947,569710.0,566131.0
91.188441,568099.0,564762.0
92.249086,568128.0,564747.0
93.304745,566513.0,566339.0
94.371701,568322.0,563692.0
95.449111,573623.0,570789.0
96.530795,570464.0,566709.0
97.59957,571604.0,571545.0
98.667055,570913.0,572295.0
99.750717,572490.0,567113.0
100.835114,573883.0,567472.0
101.900066,571431.0,567763.0
102.994296,576214.0,568362.0
104.058191,573782.0,568861.0
105.1125,573005.0,571891.0
106.281228,571202.0,571107.0
107.372601,572176.0,566597.0
108.446632,574038.0,567662.0
109.502381,578225.0,566771.0
110.562756,574841.0,566398.0
111.616679,576661.0,566484.0
112.684168,573170.0,570705.0
113.740947,575433.0,572361.0
114.804696,576019.0,576084.0
115.874568,579560.0,571216.0
116.95032,575232.0,570426.0
118.005565,577111.0,570653.0
119.069819,575220.0,571798.0
120.135312,575822.0,571540.0
121.191957,578087.0,573275.0
122.254584,572241.0,573292.0
123.316574,576545.0,575154.0
124.388387,575350.0,573389.0
125.456954,575606.0,574044.0
126.521286,577555.0,575769.0
127.621659,577416.0,574472.0
128.683577,575550.0,575932.0
129.743893,577772.0,574066.0
130.839568,578998.0,581614.0
131.921251,578139.0,575479.0
132.994931,576879.0,578079.0
134.061667,580368.0,578641.0
135.129388,579437.0,578224.0
136.213271,579315.0,577870.0
137.295215,585644.0,580742.0
138.357542,586582.0,583331.0
139.432408,586425.0,581959.0
140.503427,586312.0,583009.0
141.587027,589637.0,584743.0
142.65771,590731.0,584972.0
143.717153,588211.0,584209.0
144.790161,590584.0,585785.0
145.851567,591187.0,585763.0
146.941656,589389.0,586475.0
148.024515,592579.0,586823.0
149.092613,596803.0,590779.0
150.148582,592332.0,591387.0
151.212456,600479.0,590137.0
152.27361,594970.0,593368.0
153.355967,595481.0,594292.0
154.424488,594142.0,595091.0
155.493898,595036.0,597628.0
156.549317,595694.0,595413.0
157.610091,598063.0,596738.0
158.672517,600268.0,598787.0
159.732056,596721.0,598679.0
160.802742,598964.0,598278.0
161.865,593659.0,600608.0
162.935581,598634.0,597500.0
164.009908,600324.0,601397.0
165.086101,595771.0,600579.0
166.150325,596318.0,598785.0
167.226612,602760.0,601804.0
168.289233,595366.0,598849.0
169.348174,597562.0,598088.0
170.434828,598204.0,603668.0
171.510592,600132.0,598144.0
172.592329,596452.0,599179.0
173.681781,598371.0,600749.0
174.75757,598584.0,597622.0
175.816442,598918.0,601946.0
176.894486,602131.0,600860.0
177.963863,597827.0,599768.0
179.039626,599221.0,600473.0
180.111288,602265.0,599891.0
181.170322,598760.0,600143.0
182.24943,598497.0,600050.0
183.31892,598790.0,597026.0
184.382964,602634.0,598806.0
185.449772,600829.0,600340.0
186.510653,598713.0,599286.0
187.600288,603091.0,598570.0
188.675325,599425.0,600626.0
189.74141,602881.0,600471.0
190.841405,600599.0,599552.0
191.917622,601879.0,599574.0
193.000934,599368.0,601317.0
194.081216,601886.0,599623.0
195.174388,603262.0,598853.0
196.253183,598786.0,602725.0
197.310939,598439.0,604347.0
198.391663,599953.0,599789.0
199.479998,598603.0,604648.0
200.548406,600296.0,598320.0
201.6398,603673.0,599288.0
202.712562,598735.0,603929.0
203.782931,599121.0,598263.0
204.871086,600840.0,600919.0
205.941865,603199.0,598356.0
207.008054,596544.0,599834.0
208.092149,597369.0,604113.0
209.163572,595551.0,598333.0
210.250679,602487.0,602091.0
211.346593,600434.0,601446.0
212.428834,599676.0,599605.0
