time,signal_1,signal_2
0.568648,628985.0,549178.0
1.675339,630845.0,546502.0
2.762002,635055.0,548450.0
3.848885,621850.0,551185.0
4.946565,618533.0,544793.0
6.051504,610576.0,548809.0
7.168127,600033.0,547881.0
8.305824,588590.0,551534.0
9.454365,585020.0,550453.0
10.589462,578511.0,549939.0
11.711416,571691.0,546547.0
12.835668,564981.0,546599.0
13.977545,560134.0,545306.0
15.118727,557098.0,548366.0
16.259711,551195.0,549015.0
17.408538,545378.0,550349.0
18.583522,545502.0,546067.0
19.756892,544142.0,549275.0
21.020963,547191.0,549402.0
22.247515,543088.0,552828.0
23.419108,543296.0,551824.0
24.584467,543872.0,551195.0
25.757448,542160.0,551722.0
26.915758,542866.0,543668.0
28.072595,542693.0,549958.0
29.249591,542744.0,546442.0
30.433677,540194.0,548006.0
31.611957,543037.0,550743.0
32.799317,543428.0,547637.0
33.982964,541149.0,547671.0
35.143171,538462.0,549973.0
36.322139,541820.0,550195.0
37.488603,542277.0,550902.0
38.647655,545614.0,549355.0
39.829049,541905.0,545423.0
41.016138,541580.0,547237.0
42.207868,538892.0,549800.0
43.380633,540729.0,551094.0
44.541586,544997.0,549315.0
45.701728,542027.0,544317.0
46.861516,542583.0,547517.0
48.036226,543606.0,543400.0
49.216319,543269.0,546194.0
50.414577,541002.0,546413.0
51.58946,540648.0,551084.0
52.750088,540839.0,548223.0
53.942222,541390.0,550608.0
55.108093,541663.0,545021.0
56.271442,543600.0,548091.0
57.433366,542936.0,551234.0
58.795661,543442.0,545232.0
60.18619,540946.0,548996.0
61.520785,540571.0,551728.0
62.885597,540595.0,549096.0
64.354815,541174.0,550461.0
65.778354,540448.0,550119.0
67.011598,539337.0,544545.0
68.200688,540609.0,545158.0
69.400974,539631.0,552290.0
70.592189,543522.0,550018.0
71.792091,539779.0,551094.0
72.969871,539246.0,550388.0
74.145306,537002.0,545378.0
75.494099,539217.0,546230.0
76.668425,540148.0,551183.0
77.843655,543113.0,545838.0
79.022279,544487.0,550206.0
80.212407,540759.0,550383.0
81.397773,540983.0,550121.0
82.592887,539443.0,551249.0
83.765641,541527.0,547318.0
84.936315,536205.0,551705.0
86.120877,540489.0,549238.0
87.310079,539978.0,550470.0
88.50336,535415.0,549786.0
89.69086,538351.0,544571.0
90.859798,541852.0,548231.0
92.271872,540087.0,550781.0
93.691817,537553.0,550147.0
95.06677,539354.0,545363.0
96.254143,539346.0,549311.0
97.453582,538256.0,548205.0
98.658574,538824.0,551007.0
99.846849,539744.0,547683.0
101.041651,536731.0,545704.0
102.232541,540531.0,549005.0
103.407596,538244.0,545655.0
104.591371,538520.0,549959.0
105.782921,535665.0,549128.0
106.997129,539932.0,549951.0
108.180054,538277.0,551942.0
109.37733,538003.0,549436.0
110.583633,538105.0,547294.0
111.779189,536227.0,549352.0
112.969586,539131.0,550323.0
114.16528,539428.0,550142.0
115.340902,538605.0,549614.0
116.510657,535859.0,544899.0
117.703115,538939.0,549074.0
118.886148,541072.0,549930.0
120.075178,541452.0,551084.0
121.262463,538869.0,544738.0
122.65065,539701.0,549944.0
123.918407,538278.0,545202.0
125.18531,541670.0,548754.0
126.366642,534254.0,544585.0
127.548802,540139.0,547789.0
128.740342,539156.0,544921.0
129.950952,541795.0,549326.0
131.130738,539991.0,548649.0
132.295619,539085.0,548362.0
133.46495,539426.0,546273.0
134.632305,541312.0,548443.0
135.824145,536392.0,543367.0
137.002977,539671.0,548180.0
138.176133,537283.0,548827.0
139.364953,536151.0,546808.0
140.541473,540881.0,543168.0
141.721162,538615.0,548181.0
142.898977,541748.0,543229.0
144.084693,542993.0,548392.0
145.427507,538044.0,548060.0
146.606285,543018.0,544817.0
147.875278,542404.0,544578.0
149.178016,539404.0,547483.0
150.352129,539595.0,541061.0
151.521418,543629.0,543365.0
152.71267,544432.0,545833.0
153.878798,544436.0,539633.0
155.03269,546530.0,539176.0
156.188356,541046.0,539163.0
157.338182,542218.0,543701.0
158.510555,546129.0,543679.0
159.659913,541700.0,538502.0
160.823673,545990.0,542966.0
161.97861,548366.0,541734.0
163.129577,545281.0,540344.0
164.299967,547224.0,539964.0
165.468004,546709.0,539679.0
166.614112,544263.0,534414.0
167.768602,547424.0,536869.0
168.923866,549173.0,539183.0
170.088143,547722.0,539928.0
171.238769,551440.0,538232.0
172.446666,545132.0,538832.0
173.603811,547902.0,537403.0
174.788643,547743.0,539480.0
175.989323,548916.0,538157.0
177.493514,544590.0,540099.0
178.65918,548116.0,538286.0
179.806244,548669.0,534133.0
180.959873,547842.0,538962.0
182.12815,547712.0,538854.0
183.350078,545559.0,533711.0
184.505403,547642.0,538974.0
185.658542,549200.0,533971.0
186.974754,549057.0,538200.0
188.164868,547002.0,538079.0
189.311783,548304.0,537529.0
190.454654,543263.0,536029.0
191.592414,548734.0,538836.0
192.760751,548304.0,538821.0
193.934118,549501.0,536374.0
195.090576,550774.0,539048.0
196.232021,548602.0,538523.0
197.395805,549280.0,535847.0
198.739853,548165.0,539425.0
200.065068,548847.0,533294.0
201.38382,549565.0,537783.0
202.707931,548004.0,533878.0
204.036706,544017.0,539378.0
205.361403,546396.0,538378.0
206.678336,550299.0,538766.0
208.074542,548543.0,532592.0
209.403685,549159.0,538298.0
210.737872,548419.0,535002.0
212.042743,548546.0,537641.0
213.358392,552431.0,537656.0
214.699718,545903.0,532807.0
216.021718,544336.0,538892.0
217.361812,549381.0,532599.0
218.69024,551802.0,539440.0
220.02007,548467.0,539228.0
221.331709,546908.0,532828.0
222.672362,549619.0,533019.0
224.045958,550430.0,532095.0
225.369266,549541.0,532074.0
226.69733,549399.0,538094.0
228.054799,548199.0,537072.0
229.541384,544258.0,533618.0
230.877373,550998.0,533296.0
232.214152,551300.0,532020.0
233.462819,547178.0,538023.0
234.647383,548117.0,534638.0
235.788374,549049.0,538239.0
